doc_id,country,title,raw_path
50bac0adfc7b5a3e,Argentina,Argentina - Productive Development Plan (TRANSLATED) (2021),data/raw/corpus_raw/AI Policies/Argentina/Argentina - Productive Development Plan (TRANSLATED) (2021).pdf
5f12aa10184be879,Argentina,Argentina - Provision 2-23 City of Buenos Aires (TRANSLATED) (2023),data/raw/corpus_raw/AI Policies/Argentina/Argentina - Provision 2-23 City of Buenos Aires (TRANSLATED) (2023).pdf
2e020d8fa65b7349,Argentina,Argentina - Resolution 268-2022 (TRANSLATED) (2022),data/raw/corpus_raw/AI Policies/Argentina/Argentina - Resolution 268-2022 (TRANSLATED) (2022).pdf
92f27d51f32aec54,Argentina,Translated - Guidance for Public and Private Entities on Transparency and Personal Data Protection for Responsible Artificial Intelligence2,data/raw/corpus_raw/AI Policies/Argentina/Translated - Guidance for Public and Private Entities on Transparency and Personal Data Protection for Responsible Artificial Intelligence2.pdf
be03ba329f7f62f5,Argentina,Argentina - National AI Plan (TRANSLATED) (2019),data/raw/corpus_raw/AI Policies/Argentina/Argentina - National AI Plan (TRANSLATED) (2019).pdf
3a74f7ba3631f915,Argentina,Argentina - Knowledge Economy Promotion Scheme (TRANSLATED) (2019),data/raw/corpus_raw/AI Policies/Argentina/Argentina - Knowledge Economy Promotion Scheme (TRANSLATED) (2019).pdf
a613faf52cbfe7a1,Armenia,Armenia - Implementation of Armenia's digital agenda strategy (2021),data/raw/corpus_raw/AI Policies/Armenia/Armenia - Implementation of Armenia's digital agenda strategy (2021).pdf
c9c72830e0917b55,Armenia,Armenia - Armenia Digital Agenda (2017),data/raw/corpus_raw/AI Policies/Armenia/Armenia - Armenia Digital Agenda (2017).pdf
c85793ebb8d337b7,Armenia,Armenia - Armenia to go digital as government approves new strategy (2021),data/raw/corpus_raw/AI Policies/Armenia/Armenia - Armenia to go digital as government approves new strategy (2021).pdf
09bf072c18cc5a02,Israel,Israel - Guiding principles for the development of machine learning based technologies (2023),data/raw/corpus_raw/AI Policies/Israel/Israel - Guiding principles for the development of machine learning based technologies (2023).pdf
0c8c7ac0b430bec6,Israel,Israel - Regulation and Ethics (2023),data/raw/corpus_raw/AI Policies/Israel/Israel - Regulation and Ethics (2023).pdf
e31b8274e640b3a7,Israel,Translated - Artificial Intelligence in the Financial Sector – Interim Report of the Inter-Agency Task Force on the Use of Artificial Intelligence and Machine Learning in Israels Financial Sector,data/raw/corpus_raw/AI Policies/Israel/Translated - Artificial Intelligence in the Financial Sector – Interim Report of the Inter-Agency Task Force on the Use of Artificial Intelligence and Machine Learning in Israels Financial Sector.pdf
ff07b8256043ed3c,Israel,Israel - The Government of Israel Transitions to Cloud (2022),data/raw/corpus_raw/AI Policies/Israel/Israel - The Government of Israel Transitions to Cloud (2022).pdf
fe1afb5140bb5e30,Israel,Israel - Public call for applications to receive support for government projects based on AI (2023),data/raw/corpus_raw/AI Policies/Israel/Israel - Public call for applications to receive support for government projects based on AI (2023).pdf
ec49133d6cb80d07,Israel,Israel - Uses of Copyrighted Materials for Machine Learning (2022),data/raw/corpus_raw/AI Policies/Israel/Israel - Uses of Copyrighted Materials for Machine Learning (2022).pdf
d0d09df511f5a1f0,Israel,Israel - The National Initiative for Secured Intelligent Systems (2020),data/raw/corpus_raw/AI Policies/Israel/Israel - The National Initiative for Secured Intelligent Systems (2020).pdf
36e2ee3035d0b9e4,Israel,Israel - Israel is using AI to flag high-risk covid-19 patients (2020),data/raw/corpus_raw/AI Policies/Israel/Israel - Israel is using AI to flag high-risk covid-19 patients (2020).pdf
18d02f493a531b0f,Israel,Israel - Setting up and operation of a NIHPC focused on research and development in AI (2021),data/raw/corpus_raw/AI Policies/Israel/Israel - Setting up and operation of a NIHPC focused on research and development in AI (2021).pdf
dec04f2b2bc7c7bd,Israel,Israel - AI and Data Science Committee (TRANSLATED) (2020),data/raw/corpus_raw/AI Policies/Israel/Israel - AI and Data Science Committee (TRANSLATED) (2020).pdf
d04efa0e02a93679,Israel,Translated - Legal Guide for Designing Regulatory Sandboxes3,data/raw/corpus_raw/AI Policies/Israel/Translated - Legal Guide for Designing Regulatory Sandboxes3.pdf
ab9930b068ba4524,Israel,"Israel - A program to promote innovation, encourage the growth of the high-tech sector, and strengthen technological and scientific leadership (TRANSLATED) (2021)","data/raw/corpus_raw/AI Policies/Israel/Israel - A program to promote innovation, encourage the growth of the high-tech sector, and strengthen technological and scientific leadership (TRANSLATED) (2021).pdf"
1aeef3038dbf52cf,Israel,Israel - Bill to regulate the activities of Fintech Companies in Israel (2021),data/raw/corpus_raw/AI Policies/Israel/Israel - Bill to regulate the activities of Fintech Companies in Israel (2021).pdf
