country,n_docs,n_statements,n_norm,other_low_confidence,n_rule,n_strategy,pct_a_explicit,pct_a_inferred,pct_a_conjoined,mean_c_count,pct_b_found,pct_o_local_present,pct_i_conjoined,pct_a_raw_present,pct_b_text_present,pct_c_text_present,pct_edu_actor_A,pct_edu_domain,dclass_obligation,dclass_permission,dclass_prohibition,statements_per_doc,n_strategy_share,n_norm_share,n_rule_share,rule_to_norm_ratio,rule_to_strategy_ratio,n_strong_deontic,strong_deontic_share
United States,59,2261,1699,59,24,479,0.7885891198584697,0.0,0.124281291463954,0.43343653250773995,0.6607695709862893,0.015037593984962405,0.210968597965502,0.7885891198584697,0.6607695709862893,0.3396727111897391,0.04157452454666077,0.8283945157010173,1380.0,349.0,53.0,38.32203389830509,0.2118531623175586,0.751437417072092,0.010614772224679346,0.014125956444967627,0.05010438413361169,1433.0,0.6337903582485626
European Union,43,759,591,32,32,104,0.8458498023715415,0.0,0.1080368906455863,0.5968379446640316,0.7707509881422925,0.04743083003952569,0.23715415019762845,0.8458498023715415,0.7707509881422925,0.43610013175230566,0.011857707509881422,0.9433465085638999,508.0,107.0,40.0,17.651162790697676,0.1370223978919631,0.7786561264822134,0.04216073781291173,0.05414551607445008,0.3076923076923077,548.0,0.7220026350461133
United Kingdom,41,340,142,10,4,184,0.888235294117647,0.0,0.11176470588235295,0.3029411764705882,0.5029411764705882,0.014705882352941176,0.21176470588235294,0.888235294117647,0.5029411764705882,0.27058823529411763,0.026470588235294117,0.7470588235294118,69.0,76.0,11.0,8.292682926829269,0.5411764705882353,0.4176470588235294,0.011764705882352941,0.028169014084507043,0.021739130434782608,80.0,0.23529411764705882
Australia,22,292,128,14,6,144,0.7705479452054794,0.0,0.14726027397260275,0.2945205479452055,0.6164383561643836,0.030821917808219176,0.17465753424657535,0.7705479452054794,0.6164383561643836,0.2465753424657534,0.04452054794520548,0.863013698630137,65.0,81.0,2.0,13.272727272727273,0.4931506849315068,0.4383561643835616,0.02054794520547945,0.046875,0.041666666666666664,67.0,0.22945205479452055
Germany,21,72,43,6,1,22,0.8472222222222222,0.0,0.20833333333333334,0.4444444444444444,0.7222222222222222,0.013888888888888888,0.16666666666666666,0.8472222222222222,0.7222222222222222,0.3888888888888889,0.013888888888888888,0.9166666666666666,21.0,26.0,3.0,3.4285714285714284,0.3055555555555556,0.5972222222222222,0.013888888888888888,0.023255813953488372,0.045454545454545456,24.0,0.3333333333333333
Türkiye,18,460,47,4,0,409,0.8934782608695652,0.0,0.26304347826086955,0.40652173913043477,0.33260869565217394,0.0,0.2782608695652174,0.8934782608695652,0.33260869565217394,0.34347826086956523,0.13043478260869565,0.8,21.0,28.0,2.0,25.555555555555557,0.8891304347826087,0.10217391304347827,0.0,0.0,0.0,23.0,0.05
Malta,17,261,125,4,3,129,0.8850574712643678,0.0,0.06896551724137931,0.6091954022988506,0.7547892720306514,0.019157088122605363,0.14942528735632185,0.8850574712643678,0.7547892720306514,0.38697318007662834,0.034482758620689655,0.8888888888888888,41.0,77.0,14.0,15.352941176470589,0.4942528735632184,0.4789272030651341,0.011494252873563218,0.024,0.023255813953488372,55.0,0.210727969348659
Spain,17,233,94,13,3,123,0.8197424892703863,0.0,0.13304721030042918,0.5150214592274678,0.36909871244635195,0.017167381974248927,0.2017167381974249,0.8197424892703863,0.36909871244635195,0.4034334763948498,0.017167381974248927,0.8927038626609443,63.0,44.0,3.0,13.705882352941176,0.5278969957081545,0.4034334763948498,0.012875536480686695,0.031914893617021274,0.024390243902439025,66.0,0.2832618025751073
Belgium,12,218,52,2,2,162,0.8532110091743119,0.0,0.10091743119266056,0.44036697247706424,0.3623853211009174,0.01834862385321101,0.16972477064220184,0.8532110091743119,0.3623853211009174,0.3394495412844037,0.03211009174311927,0.9220183486238532,26.0,29.0,1.0,18.166666666666668,0.7431192660550459,0.23853211009174313,0.009174311926605505,0.038461538461538464,0.012345679012345678,27.0,0.12385321100917432
India,12,186,136,9,3,38,0.8548387096774194,0.0,0.12365591397849462,0.6075268817204301,0.5752688172043011,0.026881720430107527,0.22043010752688172,0.8548387096774194,0.5752688172043011,0.4032258064516129,0.11290322580645161,0.5752688172043011,75.0,70.0,3.0,15.5,0.20430107526881722,0.7311827956989247,0.016129032258064516,0.022058823529411766,0.07894736842105263,78.0,0.41935483870967744
Japan,12,156,91,14,4,47,0.782051282051282,0.0,0.08974358974358974,0.4358974358974359,0.6410256410256411,0.03205128205128205,0.16666666666666666,0.782051282051282,0.6410256410256411,0.3333333333333333,0.02564102564102564,0.9294871794871795,60.0,40.0,9.0,13.0,0.30128205128205127,0.5833333333333334,0.02564102564102564,0.04395604395604396,0.0851063829787234,69.0,0.4423076923076923
Mexico,12,120,68,6,1,45,0.875,0.0,0.1,0.5333333333333333,0.75,0.008333333333333333,0.18333333333333332,0.875,0.75,0.43333333333333335,0.0,0.8916666666666667,39.0,34.0,2.0,10.0,0.375,0.5666666666666667,0.008333333333333333,0.014705882352941176,0.022222222222222223,41.0,0.3416666666666667
Singapore,12,80,27,2,0,51,0.875,0.0,0.1625,0.25,0.475,0.025,0.2,0.875,0.475,0.2125,0.1,0.6875,9.0,19.0,1.0,6.666666666666667,0.6375,0.3375,0.0,0.0,0.0,10.0,0.125
Austria,11,109,57,4,1,47,0.8532110091743119,0.0,0.22935779816513763,0.46788990825688076,0.3486238532110092,0.009174311926605505,0.1651376146788991,0.8532110091743119,0.3486238532110092,0.4036697247706422,0.11926605504587157,0.8073394495412844,33.0,29.0,0.0,9.909090909090908,0.43119266055045874,0.5229357798165137,0.009174311926605505,0.017543859649122806,0.02127659574468085,33.0,0.30275229357798167
