country,iad_boundary,iad_position,iad_choice,iad_information,iad_scope,iad_aggregation,iad_payoff,n_docs_with_edu_rules,n_edu_rule_statements,boundary_share_within_edu_rules,position_share_within_edu_rules,choice_share_within_edu_rules,information_share_within_edu_rules,scope_share_within_edu_rules,aggregation_share_within_edu_rules,payoff_share_within_edu_rules
European Union,17,77,148,54,18,10,70,22,148,0.11486486486486487,0.5202702702702703,1.0,0.36486486486486486,0.12162162162162163,0.06756756756756757,0.47297297297297297
United States,11,77,130,69,31,16,67,15,130,0.08461538461538462,0.5923076923076923,1.0,0.5307692307692308,0.23846153846153847,0.12307692307692308,0.5153846153846153
United Kingdom,0,6,29,14,9,1,5,10,29,0.0,0.20689655172413793,1.0,0.4827586206896552,0.3103448275862069,0.034482758620689655,0.1724137931034483
Australia,2,12,25,14,8,4,9,10,25,0.08,0.48,1.0,0.56,0.32,0.16,0.36
Mexico,3,7,18,10,5,0,7,7,18,0.16666666666666666,0.3888888888888889,1.0,0.5555555555555556,0.2777777777777778,0.0,0.3888888888888889
Malta,11,9,16,10,2,2,5,7,16,0.6875,0.5625,1.0,0.625,0.125,0.125,0.3125
Belgium,2,9,15,6,1,0,3,4,15,0.13333333333333333,0.6,1.0,0.4,0.06666666666666667,0.0,0.2
Japan,0,1,13,5,3,0,7,7,13,0.0,0.07692307692307693,1.0,0.38461538461538464,0.23076923076923078,0.0,0.5384615384615384
India,0,7,12,6,2,0,3,4,12,0.0,0.5833333333333334,1.0,0.5,0.16666666666666666,0.0,0.25
Norway,2,1,12,8,2,0,4,5,12,0.16666666666666666,0.08333333333333333,1.0,0.6666666666666666,0.16666666666666666,0.0,0.3333333333333333
Saudi Arabia,0,2,12,7,1,0,7,3,12,0.0,0.16666666666666666,1.0,0.5833333333333334,0.08333333333333333,0.0,0.5833333333333334
Argentina,5,5,11,7,6,0,8,3,11,0.45454545454545453,0.45454545454545453,1.0,0.6363636363636364,0.5454545454545454,0.0,0.7272727272727273
Spain,1,3,10,7,3,1,4,4,10,0.1,0.3,1.0,0.7,0.3,0.1,0.4
Costa Rica,2,4,7,3,1,0,2,3,7,0.2857142857142857,0.5714285714285714,1.0,0.42857142857142855,0.14285714285714285,0.0,0.2857142857142857
Czech Republic,1,2,7,2,4,0,3,4,7,0.14285714285714285,0.2857142857142857,1.0,0.2857142857142857,0.5714285714285714,0.0,0.42857142857142855
Portugal,0,2,7,4,1,0,0,2,7,0.0,0.2857142857142857,1.0,0.5714285714285714,0.14285714285714285,0.0,0.0
Finland,0,2,6,4,1,1,2,1,6,0.0,0.3333333333333333,1.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333
Mauritius,0,5,6,3,1,0,5,1,6,0.0,0.8333333333333334,1.0,0.5,0.16666666666666666,0.0,0.8333333333333334
Colombia,0,2,5,2,0,0,2,2,5,0.0,0.4,1.0,0.4,0.0,0.0,0.4
France,0,3,5,4,2,0,3,4,5,0.0,0.6,1.0,0.8,0.4,0.0,0.6
Thailand,0,0,5,2,1,0,3,2,5,0.0,0.0,1.0,0.4,0.2,0.0,0.6
Tunisia,0,3,5,2,2,0,5,1,5,0.0,0.6,1.0,0.4,0.4,0.0,1.0
Singapore,0,0,4,2,0,0,4,2,4,0.0,0.0,1.0,0.5,0.0,0.0,1.0
Austria,2,3,3,1,1,0,0,2,3,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0
Germany,1,0,3,1,0,0,1,3,3,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333
Iceland,0,2,3,2,1,1,0,2,3,0.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0
Peru,0,0,3,1,1,0,0,2,3,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0
Romania,1,1,3,2,1,0,1,2,3,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
Serbia,0,2,3,1,3,0,0,2,3,0.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,0.0
Switzerland,1,1,3,2,0,0,1,1,3,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333
Ukraine,0,2,3,2,1,0,1,2,3,0.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
