country,n_docs,n_statements,statements_per_doc
United States,59,2261,38.32203389830509
European Union,43,759,17.651162790697676
Türkiye,18,460,25.55555555555556
United Kingdom,41,340,8.292682926829269
Australia,22,292,13.272727272727272
Malta,17,261,15.352941176470589
Spain,17,233,13.705882352941176
Belgium,12,218,18.166666666666668
India,12,186,15.5
Japan,12,156,13.0
Czech Republic,6,148,24.666666666666668
Norway,9,136,15.11111111111111
Mexico,12,120,10.0
Austria,11,109,9.909090909090908
France,11,103,9.363636363636363
Thailand,5,102,20.4
Portugal,7,88,12.571428571428571
Ireland,7,85,12.142857142857142
Serbia,10,83,8.3
Finland,6,82,13.666666666666666
Singapore,12,80,6.666666666666667
Denmark,7,78,11.142857142857142
Colombia,11,78,7.090909090909091
Peru,7,77,11.0
Argentina,5,76,15.2
