country,n_strategy_share,n_norm_share,n_rule_share
Malaysia,1.0,0.0,0.0
Luxembourg,1.0,0.0,0.0
Global Partnership on Artificial Intelligence,0.9,0.1,0.0
Romania,0.8939393939393939,0.0909090909090909,0.0151515151515151
Türkiye,0.8891304347826087,0.1021739130434782,0.0
Slovenia,0.875,0.0,0.0
Slovakia,0.8529411764705882,0.1176470588235294,0.0
United Arab Emirates,0.8333333333333334,0.1666666666666666,0.0
Hungary,0.8,0.1333333333333333,0.0
Uruguay,0.8,0.2,0.0
Ireland,0.7529411764705882,0.2352941176470588,0.0
Belgium,0.7431192660550459,0.2385321100917431,0.0091743119266055
Portugal,0.7045454545454546,0.2613636363636363,0.0113636363636363
Poland,0.7,0.3,0.0
Serbia,0.6987951807228916,0.253012048192771,0.0120481927710843
Netherlands,0.6875,0.3125,0.0
OECD,0.6818181818181818,0.3181818181818182,0.0
Singapore,0.6375,0.3375,0.0
Italy,0.6304347826086957,0.3260869565217391,0.0
Czech Republic,0.6283783783783784,0.3378378378378378,0.0067567567567567
Latvia,0.6153846153846154,0.3653846153846153,0.0
Denmark,0.6153846153846154,0.3333333333333333,0.0128205128205128
Estonia,0.6,0.4,0.0
Croatia,0.5714285714285714,0.3571428571428571,0.0
Argentina,0.5657894736842105,0.3289473684210526,0.0394736842105263
