country,overall_n_docs,overall_n_statements,overall_statements_per_doc,overall_n_strategy_share,overall_n_norm_share,overall_n_rule_share,overall_rule_to_norm_ratio,overall_rule_to_strategy_ratio,overall_pct_a_explicit,overall_mean_c_count,overall_pct_b_found,overall_pct_o_local_present,overall_strong_deontic_share,edu_n_docs,edu_n_statements,edu_statements_per_doc,edu_n_strategy_share,edu_n_norm_share,edu_n_rule_share,edu_rule_to_norm_ratio,edu_rule_to_strategy_ratio,edu_pct_a_explicit,edu_mean_c_count,edu_pct_b_found,edu_pct_o_local_present,edu_strong_deontic_share,delta_strategy_share,delta_norm_share,delta_rule_share,delta_strong_deontic_share,delta_o_local_present,delta_statements_per_doc
African Union,1,106,106.0,0.0188679245283018,0.9716981132075472,0.0,0.0,0.0,0.9339622641509434,0.5283018867924528,0.330188679245283,0.0,0.0754716981132075,,,,,,,,,,,,,,,,,,,
Argentina,6,1580,263.3333333333333,0.4341772151898734,0.4873417721518987,0.0360759493670886,0.074025974025974,0.0830903790087463,0.8512658227848101,0.470253164556962,0.3329113924050633,0.0474683544303797,0.0240506329113924,5.0,76.0,15.2,0.5657894736842105,0.3289473684210526,0.0394736842105263,0.12,0.0697674418604651,0.8421052631578947,0.3289473684210526,0.4605263157894737,0.0921052631578947,0.1842105263157894,0.1316122584943371,-0.15839440373084612,0.003397734843437701,0.160159893404397,0.044636908727515,-248.13333333333333
Armenia,3,12,4.0,0.9166666666666666,0.0833333333333333,0.0,0.0,0.0,0.75,0.3333333333333333,0.25,0.0,0.0,,,,,,,,,,,,,,,,,,,
Australia,25,5346,213.84,0.3447437336326225,0.5914702581369248,0.0233819678264122,0.0395319418089816,0.0678241996744438,0.8434343434343434,0.3254769921436588,0.2820800598578376,0.0286195286195286,0.0319865319865319,22.0,292.0,13.272727272727272,0.4931506849315068,0.4383561643835616,0.0205479452054794,0.046875,0.0416666666666666,0.7705479452054794,0.2945205479452055,0.6164383561643836,0.0308219178082191,0.2294520547945205,0.14840695129888432,-0.15311409375336316,-0.0028340226209328002,0.1974655228079886,0.0022023891886904998,-200.56727272727272
Austria,17,2986,175.64705882352942,0.3985264567983925,0.5298057602143336,0.015405224380442,0.0290771175726927,0.0386554621848739,0.8305425318151373,0.4112525117213664,0.4330207635632954,0.0214333556597454,0.0361687876758205,11.0,109.0,9.909090909090908,0.4311926605504587,0.5229357798165137,0.0091743119266055,0.0175438596491228,0.0212765957446808,0.8532110091743119,0.4678899082568807,0.3486238532110092,0.0091743119266055,0.3027522935779816,0.03266620375206619,-0.00686998039781983,-0.0062309124538364995,0.2665835059021611,-0.012259043733139898,-165.7379679144385
Belgium,16,4574,285.875,0.7184083952776563,0.2525142107564495,0.0080891998250983,0.032034632034632,0.0112598904443091,0.8812855268911237,0.3808482728465238,0.1816790555312636,0.0150852645386969,0.0150852645386969,12.0,218.0,18.166666666666668,0.7431192660550459,0.2385321100917431,0.0091743119266055,0.0384615384615384,0.0123456790123456,0.8532110091743119,0.4403669724770642,0.3623853211009174,0.018348623853211,0.1238532110091743,0.024710870777389538,-0.01398210066470637,0.0010851121015071994,0.10876794647047741,0.003263359314514099,-267.7083333333333
Brazil,3,87,29.0,0.3448275862068966,0.6206896551724138,0.0,0.0,0.0,0.7816091954022989,0.3908045977011494,0.3563218390804598,0.0,0.0,,,,,,,,,,,,,,,,,,,
Bulgaria,4,884,221.0,0.583710407239819,0.3416289592760181,0.0090497737556561,0.0264900662251655,0.0155038759689922,0.8020361990950227,0.3450226244343891,0.4264705882352941,0.0147058823529411,0.007918552036199,4.0,55.0,13.75,0.509090909090909,0.3090909090909091,0.0363636363636363,0.1176470588235294,0.0714285714285714,0.8909090909090909,0.2909090909090909,0.4727272727272727,0.0545454545454545,0.2,-0.07461949814891,-0.032538050185109024,0.0273138626079802,0.192081447963801,0.0398395721925134,-207.25
Canada,15,1050,70.0,0.3438095238095238,0.5628571428571428,0.0361904761904761,0.0642978003384094,0.1052631578947368,0.8666666666666667,0.4866666666666667,0.2647619047619047,0.0447619047619047,0.06,9.0,50.0,5.555555555555555,0.46,0.52,0.0,0.0,0.0,0.84,0.42,0.42,0.0,0.32,0.11619047619047623,-0.042857142857142816,-0.0361904761904761,0.26,-0.0447619047619047,-64.44444444444444
Chile,8,615,76.875,0.5902439024390244,0.3577235772357723,0.0048780487804878,0.0136363636363636,0.0082644628099173,0.7772357723577236,0.2585365853658536,0.3056910569105691,0.0097560975609756,0.0097560975609756,4.0,27.0,6.75,0.4814814814814814,0.4814814814814814,0.0,0.0,0.0,0.6296296296296297,0.1851851851851851,0.3333333333333333,0.0,0.3333333333333333,-0.10876242095754296,0.1237579042457091,-0.0048780487804878,0.3235772357723577,-0.0097560975609756,-70.125
