doc_id,doc_char_count,n_chunks
0202754ecda31003,22646,15
022171a37cc70085,55099,41
022c930c18687f91,335506,151
02456bffdb59d512,4039,2
0266d2fe4fd54289,6828,3
0293fdef24d89c59,157168,72
02d9e6d982b9ece6,35658,17
02f17f5672db9af3,1586,2
03807803a9187364,3440006,1380
0391f1576688ff49,5650,4
048238ce0ea17935,5692,3
048d84e63736c61e,7457,3
04afae0931dcf278,581873,653
04b688f2ea13fc0f,439203,176
04d5dc971cb2c89b,391344,157
054b09753716e5a5,57554,23
055411414972eaef,208555,109
059624c0b0328c18,9406,5
05a45f3727229dfc,12738,6
05d2831f581f4630,77026,55
06236e0a0a9b8339,20757,10
0629d1b582bd98ae,10829,5
06904687d6695cc5,7366,4
06c065ea1b510a5e,2574,1
06fd8e3ac3f266f8,82911,42
06fe8f1936c9df4c,14565,31
0702658d36f957f1,12581,9
072b3d5e75981aff,39759,19
075a88d00e339dd0,26331,23
079875db3de50d07,19616,41
07f32ec5dffbc017,77900,69
0865dd9f2352b900,19408,9
089453c57c8e7820,138759,56
094b764529d73ac1,72676,89
09bf072c18cc5a02,10934,17
09ede7b8df6a6c3a,182992,74
0a3c72bd280460f8,2316,1
0a813db824b82fa5,8018,0
0c0c1001b8439a1a,71168,36
0c6c6cf9a05b35a6,10033,8
0c82085d4e310adb,40637,3
0c8c7ac0b430bec6,23248,18
0d100d513136adfa,306581,123
0d4fa511b728c72a,3805,2
0e1d514a6fdd3ec7,9087,4
0e32da0721085699,82160,33
0e4fd79952d3e541,123824,50
0e589e51234b0348,54179,24
0e658d492809cdeb,0,0
0f3c0f62510abd15,5216,3
0f516c74ce5bcdb0,27939,12
0fc6dc95f77e104c,101668,41
0fd508cf369356fe,254785,103
0fd5125a6bac7388,3262,2
1002da0c2a4bbb5d,6424,3
105a2c3835f36e78,61939,25
108d18a217d57b5e,2920,2
10b67ab2b37e7de9,59872,82
1138d5b7b27c63e0,13639,6
117a02206efad0e4,21831,19
1185170de2edeca5,8120,4
11cdf8a19e38de8f,8639,4
11df4d5b7abc6ce1,11389,6
11e180870923f314,253591,103
124be3cc6fb4dd62,47494,19
125c8ea5b58ebfd6,53157,26
12bacbf05e7aa538,222229,90
12c9c1f2a444071b,5743,3
12cbf6f9e2721709,5076,2
