pc,explained_variance_ratio,cumulative
PC1,0.0035484752853842624,0.0035484752853842624
PC2,0.01489709630040549,0.018445571585789754
PC3,0.00803119700757408,0.026476768593363835
PC4,0.007856557301058748,0.03433332589442258
PC5,0.006634629451271774,0.040967955345694355
PC6,0.006002571422546946,0.0469705267682413
PC7,0.004807335348366707,0.05177786211660801
PC8,0.004525814252544047,0.05630367636915205
PC9,0.004016801185988194,0.06032047755514025
PC10,0.0037802638575631133,0.06410074141270336
PC11,0.003694009728576479,0.06779475114127984
PC12,0.003505553788558015,0.07130030492983785
PC13,0.0033577300087283234,0.07465803493856618
PC14,0.0032005204377573435,0.07785855537632352
PC15,0.0029859960720232948,0.08084455144834682
PC16,0.0026403635258509346,0.08348491497419776
PC17,0.002536379600440003,0.08602129457463777
PC18,0.0023768811285776307,0.0883981757032154
PC19,0.0022922224852266974,0.0906903981884421
PC20,0.002189755203515724,0.09288015339195782
PC21,0.0020244158819315307,0.09490456927388935
PC22,0.0020037238444032095,0.09690829311829256
PC23,0.0019924136577462153,0.09890070677603878
PC24,0.0019190625727697813,0.10081976934880856
PC25,0.0018940666007892632,0.10271383594959782
PC26,0.0018657829996393865,0.1045796189492372
PC27,0.0017977346152920736,0.10637735356452928
PC28,0.0017523707359391066,0.10812972430046838
PC29,0.00172783636910094,0.10985756066956932
PC30,0.0017050505818556423,0.11156261125142497
PC31,0.001683843949921055,0.11324645520134602
PC32,0.0016180028747294997,0.11486445807607552
PC33,0.0015931746049292572,0.11645763268100479
PC34,0.0015738520615845087,0.11803148474258929
PC35,0.0015256842703106823,0.11955716901289996
PC36,0.0015033746519100076,0.12106054366480998
PC37,0.0014665452861857683,0.12252708895099575
PC38,0.001444919333190961,0.12397200828418671
PC39,0.0014153071011290264,0.12538731538531572
PC40,0.0013932613625905813,0.1267805767479063
