pc,top_positive_terms,top_negative_terms
PC1,ai; data; digital; research; education; intelligence; artificial; development; artificial intelligence; use; national; public; technology; systems; government; defense; skills; training; information; sec; learning; innovation; science; new; assessment; shall; technologies; support; 10; machine,있도록; 수 있도록; 지원; се; 등; 산업혁명; 차 산업혁명; 대학; 수; 위한; 및; 269 000; 000 335; 550 000; 991 000; 016 000; 000 112; incremento del; 000 81; 000 145; 000 319; 376 000; 833 000; 000 272; 923 000; 000 202; 449 000; 774 000; 000 152; 581 000
PC2,ai; data; digital; artificial; artificial intelligence; intelligence; skills; education; learning; research; use; development; machine; innovation; human; ai systems; systems; technologies; students; companies; ministry; sector; quality; ethical; use ai; government; knowledge; industry; uk; impact,22; xml; defense; sec; secretary; rcp xml; rcp; 10; 10 22; 120721; shall; 2021; section; 11; united states; 24; united; subsection; states; military; department; jkt; 00000; verdate; fmt; po 00000; frm; 00000 frm; sfmt; po
PC3,ai; 22; xml; rcp xml; rcp; 120721; 10 22; 10; 24; 2021; sfmt 6201; 6201 users; 6201; al 11; 000000; gen rcp; 11 gen; dec 07; 07 2021; appdata roaming; users hcross; hcross; softquad xmet; softquad; appdata; roaming softquad; xmet; hcross appdata; 000000 po; jkt 000000,sec; defense; secretary; shall; provision; section; contained; 295; department; united states; senate; united; house; states; program; secretary defense; amendment; subsection; report; department defense; 295 133; 133; armed; act; title; high school; national; military; smartlabs; smartlabs 2023
PC4,295; 295 133; 133; high school; smartlabs; smartlabs 2023; pnrr smartlabs; pnrr; school; smart; 2023; smart laboratories; high; laboratories; 133 90; 00; college; school smart; technological high; 90; technological; equipment; theoretical; national college; equipping; equipment high; digital; education; 133 91; theoretical high,sec; ai; defense; data; secretary; shall; section; provision; contained; united states; department; assessment; united; senate; states; report; house; act; secretary defense; subsection; security; department defense; amendment; personal; personal data; systems; armed; protection; risk; military
PC5,ai; data; 295; systems; ai systems; risk; sec; personal data; 295 133; personal; assessment; 133; protection; smartlabs; smartlabs 2023; pnrr smartlabs; pnrr; high school; defense; processing; data protection; privacy; risks; shall; decision; rights; impact; use; use ai; smart laboratories,digital; education; skills; digital skills; ministry; research; training; innovation; science; development; higher; transformation; higher education; ict; educational; technologies; 000; economy; digital transformation; students; digital technologies; schools; teachers; support; programme; teaching; technology; ministry education; national; plan
PC6,ai; sec; defense; research; education; students; program; 000; united; talent; united states; department; contained; secretary; intelligence; industry; science; programs; generative; use ai; military; generative ai; ai research; senate; department defense; innovation; house; strategy; skills; artificial intelligence,data; personal data; personal; protection; processing; data protection; ar; information; ticle; ar ticle; privacy; digital; shall; regulation; law; article; protection personal; public; assessment; processing personal; decision; rights; controller; ity; machine; quality; impact assessment; access; risk; impact
PC7,ar; ticle; ar ticle; shall; ai; digital; ity; conf; author; mity; conf mity; regulation; red; eu; isk; ser; commission; skills; syste; inf; par; ed; digital elements; ied; ma; cybersecur; cybersecur ity; mity assessment; paragraph; high isk,data; artificial; intelligence; artificial intelligence; sec; personal data; personal; https; protection; research; uk; data protection; privacy; www; information; https www; gov; university; science; machine; processing; government; gov uk; rights; protection personal; institute; technology; 000; google; pdf
PC8,artificial; intelligence; artificial intelligence; research; 000; https; science; university; ar; www; ticle; ar ticle; shall; https www; innovation; national; org; european; 2019; ministry; scientific; council; institute; commission; regulation; eu; technology; 2020; 2018; 2024,digital; skills; data; sec; digital skills; ai; education; learning; training; quality; use; educational; students; teachers; schools; risk; personal; risks; digital technologies; school; transformation; teaching; personal data; tools; provision; literacy; machine learning; digital transformation; people; process
PC9,000; research; 000 000; university; data; uk; ai; science; project; total; innovation; section; year; 500; number; researchers; program; projects; funding; scientific; allocation; support; increase; million; quality; 100; program increase; nsf; 10 000; subsection,artificial; intelligence; artificial intelligence; digital; sec; digital skills; skills; technologies; ministry; field artificial; education; contained; defense; provision; national; https; use artificial; intelligence technologies; field; intelligence systems; educational; strategy; 2024; regulation; digital transformation; ar; department defense; russian; european; department
PC10,sec; 000; digital; https; subtitle; data; ar; ticle; ar ticle; artificial; artificial intelligence; intelligence; www; skills; program sec; https www; contained; uk; certain; digital skills; provision; org; ity; regulation; military; eu; personal data; personal; commission; department defense,section; shall; subsection; secretary; paragraph; committee; research; inserting; act; later; date; quality; required; appropriate; following; striking; secretary defense; including; amended; described; machine learning; committees; united states; code; submit; states code; united; shall submit; days; ii
PC11,000; artificial; intelligence; artificial intelligence; learning; quality; machine learning; machine; systems; external quality; external; field; learning elements; sec; use; translated google; machine translated; translated; educational; development; safety; elements; quality use; education; google; based; requirements; internal quality; plant; implementation,uk; https; www; https www; gov; government; gov uk; research; org; innovation; data; pdf; uk government; www gov; australian; australia; 2017; ai; science; 2019; 2018; public; com; sharing; publications; government publications; sector; cdei; 2020; report
