pc,top_positive_terms,top_negative_terms
PC1,ai; data; digital; intelligence; development; artificial; public; research; artificial intelligence; use; systems; national; government; technology; information; innovation; new; services; technologies; sector; human; security; strategy; machine; support; based; section; shall; defense; education,unmasked unmasked; masks masked; masked medium; институциите; учебни програми; постижения; учебен процес; работят; страна на; контекста; по изкуства; съвременните; постигане на; текст; 신산업; студентите по; употреба на; бъдещите; постигане; 것이다; компютър; конкретни; материал; зависимост; висока; първо; обаче; как да; проблем; 연구
PC2,ai; data; artificial; artificial intelligence; digital; intelligence; ai systems; use; systems; learning; innovation; human; development; sector; machine; models; technologies; ethical; government; use ai; uk; companies; skills; governance; society; principles; european; personal data; personal; example,22; xml; section; defense; sec; 10; secretary; rcp xml; rcp; 120721; 10 22; shall; subsection; united states; 2021; united; 11; states; title; inserting; 24; striking; paragraph; military; jkt; sfmt; fmt; frm; 00000; verdate
PC3,la; el; en; del; que; las; los; digital; para; se; digitales; en el; nacional; transformacion; transformacion digital; como; servicio; por; en la; gobierno; una; servicios; politica; del servicio; ciudadania; indicador; datos; pcm; tecnologias; para la,ai; systems; data; ai systems; research; human; section; defense; use ai; use; xml; sec; intelligence; risk; models; risks; artificial intelligence; secretary; principles; generative; ethical; united states; 22; subsection; united; generative ai; used; model; learning; states
PC4,ai; xml; 22; rcp xml; rcp; 120721; 10 22; ai systems; 10; artificial; intelligence; artificial intelligence; 24; 2021; systems; use ai; generative; generative ai; al 11; gen rcp; 11 gen; softquad xmet; hcross appdata; hcross; softquad; appdata roaming; roaming softquad; appdata; xmet; users hcross,data; personal; personal data; shall; section; protection; digital; processing; information; sec; public; data protection; law; subsection; access; paragraph; article; defense; provision; title; controller; inserting; sharing; services; secretary; subject; person; authority; act; contained
PC5,data; 22; xml; personal data; personal; rcp xml; rcp; 120721; 10 22; processing; protection; 24; data protection; 10; users; 2021; al 11; gen rcp; 11 gen; softquad; xmet; appdata roaming; hcross; softquad xmet; users hcross; hcross appdata; roaming softquad; appdata; cmte 22; cmte,sec; section; defense; subsection; united states; secretary; united; inserting; title; states; striking; contained; provision; ai; national; research; amended; program; senate; house; department; paragraph; amendment; states code; development; code; secretary defense; intelligence; provision sec; 000
PC6,на; за; да; се; от; по; обучение; да се; които; са; като; образованието; при; трансформация; дигитална; не; на образованието; проблеми; оценяване; трансформация на; или; решения; дигитална трансформация; акредитация; към; технологии; обучението; студентите; национална; конференция,data; ai; personal data; personal; la; processing; ai systems; systems; xml; data protection; el; section; shall; use; privacy; rcp xml; 120721; rcp; que; 10 22; protection; controller; las; del; users; los; risk; risks; subsection; used
PC7,ai; data; section; personal data; personal; subsection; ai systems; inserting; la; sec; striking; systems; title; shall; defense; paragraph; amended; united states; processing; secretary; united; states; act; el; protection; states code; data protection; code; en; use ai,digital; transformation; innovation; digital transformation; education; government; development; research; national; skills; economy; public; artificial; technologies; services; artificial intelligence; intelligence; strategy; technology; sector; ministry; 22; economic; xml; science; translated; machine translated; translated google; digital skills; google
PC8,die; und; der; des; fur; von; zu; den; das; im; mit; werden; auf; eine; ist; wurden; zur; wurde; ein; dem; fur die; durch; oder; als; uber; um; sind; einer; sich; daten,data; section; personal data; sharing; personal; data sharing; use; model; privacy; inserting; quality; access; subsection; el; striking; la; used; information; public; models; del; datasets; bias; title; use data; health; making; data strategy; risk; training
PC9,artificial; intelligence; artificial intelligence; https; www; https www; org; 2019; pdf; research; gov; personal data; personal; 2018; com; science; 2020; finland; en; use artificial; uk; 2023; intelligence systems; ethics; field artificial; report; protection; national artificial; european; council,digital; ai; transformation; skills; services; digital transformation; service; public; training; digital skills; economy; support; government; infrastructure; ai systems; quality; access; digital economy; die; ensure; indicator; new; models; risks; people; sector; und; companies; model; digital technologies
PC10,section; inserting; striking; subsection; amended; paragraph; title; redesignated; digital; amended striking; chapter; transferred; subsection section; code; shall; subparagraph; states code; ii; ar; inserting section; striking section; ticle; ar ticle; regulation; eu; redesignating; code amended; sections; following; european,sec; defense; contained; provision; senate; house; provision sec; amendment; data; senate amendment; amendment contained; house contained; contained provision; department; recedes; contained similar; similar provision; secretary; military; department defense; similar; secretary defense; 000; program; 6601; report; conferees; house recedes; security; armed
PC11,data; section; inserting; striking; subsection; amended; title; artificial; intelligence; artificial intelligence; learning; redesignated; die; amended striking; states code; machine learning; sharing; new; transferred; und; title 10; machine; quality; subsection section; 10 united; data sharing; development; united states; striking section; training,ar; ticle; ar ticle; shall; regulation; eu; ser; european; commission; author; inf; ser vices; vices; ity; par; ed; member; inf mation; mation; article; er; red; law; oj; provid; ma; author ities; ities; accordance; union
PC12,https; uk; www; https www; gov; gov uk; government; org; pdf; www gov; uk government; online; 2019; publications; com; research; government publications; 000; innovation; online targeting; cdei; 2020; targeting; science; bias; algorithmic; 2018; review; pm; 2017,artificial; intelligence; artificial intelligence; digital; personal data; personal; development; machine; shall; transformation; digital transformation; processing; systems; translated; machine translated; translated google; google; protection; implementation; security; ai systems; field; training; based; measures; quality; entities; controller; learning; education
PC13,digital; https; digital transformation; transformation; government; www; rights; https www; service; gov; decision; uk; public; gov uk; human; decision making; artificial intelligence; artificial; protection; services; use; provision; intelligence; human rights; national digital; information; contained; security; algorithmic; bias,research; 000; data; science; innovation; development; scientific; european; projects; funding; project; support; la; industry; 000 000; researchers; research innovation; research development; ar; serbia; technology; investment; high; horizon; energy; eu; learning; computing; ticle; ar ticle
