pc,explained_variance_ratio,cumulative
PC1,0.00528343936499545,0.00528343936499545
PC2,0.0117815058660433,0.01706494523103875
PC3,0.008362147795361081,0.02542709302639983
PC4,0.0062891528106390135,0.031716245837038845
PC5,0.005939665856310398,0.03765591169334924
PC6,0.005701935191986243,0.043357846885335484
PC7,0.005267766344118044,0.04862561322945353
PC8,0.004202727442449434,0.052828340671902965
PC9,0.003772807392587878,0.05660114806449084
PC10,0.003587378558759099,0.06018852662324994
PC11,0.0032898038722654404,0.06347833049551538
PC12,0.0031290811805036716,0.06660741167601905
PC13,0.0029248982280113667,0.06953230990403042
PC14,0.0028056331526279048,0.07233794305665832
PC15,0.002544648321907697,0.07488259137856601
PC16,0.0024884338645962422,0.07737102524316225
PC17,0.0022486834700763585,0.0796197087132386
PC18,0.002135903220672836,0.08175561193391144
PC19,0.0020084317424360724,0.08376404367634752
PC20,0.0018940129540395412,0.08565805663038706
PC21,0.0018661658245541653,0.08752422245494122
PC22,0.0018469139780975768,0.0893711364330388
PC23,0.0017755203376379994,0.0911466567706768
PC24,0.001763750336288829,0.09291040710696563
PC25,0.0016328051553578793,0.09454321226232351
PC26,0.0016193957488848335,0.09616260801120835
PC27,0.0015838046676723294,0.09774641267888068
PC28,0.001526597359425507,0.09927301003830619
PC29,0.0015076528359764568,0.10078066287428264
PC30,0.0014793442910432874,0.10226000716532593
PC31,0.0014594451666452486,0.10371945233197118
PC32,0.0013925804586282506,0.10511203279059943
PC33,0.001379067882341798,0.10649110067294122
PC34,0.0013496718564529459,0.10784077252939417
PC35,0.001307970758535227,0.1091487432879294
PC36,0.0012627866693133674,0.11041152995724277
PC37,0.0012518852265017602,0.11166341518374452
PC38,0.001233592079632297,0.11289700726337681
PC39,0.0012218862903539496,0.11411889355373077
PC40,0.001194313542230877,0.11531320709596164
