pc,top_positive_terms,top_negative_terms
PC1,ai; data; digital; intelligence; development; artificial; public; research; artificial intelligence; use; systems; national; government; technology; information; innovation; new; services; technologies; sector; human; security; strategy; machine; support; based; section; shall; defense; education,unmasked unmasked; masks masked; masked medium; институциите; учебни програми; постижения; учебен процес; работят; страна на; контекста; по изкуства; съвременните; постигане на; текст; 신산업; студентите по; употреба на; бъдещите; постигане; 것이다; компютър; конкретни; материал; зависимост; висока; първо; обаче; как да; проблем; 연구
PC2,ai; data; artificial; artificial intelligence; digital; intelligence; ai systems; use; systems; learning; innovation; human; development; sector; machine; models; technologies; ethical; government; use ai; uk; companies; skills; governance; society; principles; european; personal data; personal; example,22; xml; section; defense; sec; 10; secretary; rcp xml; rcp; 120721; 10 22; shall; subsection; united states; 2021; united; 11; states; title; inserting; 24; striking; paragraph; military; jkt; sfmt; fmt; frm; 00000; verdate
PC3,la; el; en; del; que; las; los; digital; para; se; digitales; en el; nacional; transformacion; transformacion digital; como; servicio; por; en la; gobierno; una; servicios; politica; del servicio; ciudadania; indicador; datos; pcm; tecnologias; para la,ai; systems; data; ai systems; research; human; section; defense; use ai; use; xml; sec; intelligence; risk; models; risks; artificial intelligence; secretary; principles; generative; ethical; united states; 22; subsection; united; generative ai; used; model; learning; states
PC4,ai; xml; 22; rcp xml; rcp; 120721; 10 22; ai systems; 10; artificial; intelligence; artificial intelligence; 24; 2021; systems; use ai; generative; generative ai; al 11; 11 gen; gen rcp; appdata; softquad xmet; softquad; hcross; users hcross; hcross appdata; roaming softquad; xmet; appdata roaming,data; personal; personal data; shall; section; protection; digital; processing; information; sec; public; data protection; law; subsection; access; paragraph; article; defense; provision; title; controller; inserting; sharing; services; secretary; subject; person; authority; contained; act
PC5,data; 22; xml; personal data; personal; rcp xml; rcp; 120721; 10 22; processing; protection; 24; data protection; 10; users; 2021; al 11; gen rcp; 11 gen; softquad; xmet; softquad xmet; users hcross; hcross appdata; hcross; roaming softquad; appdata; appdata roaming; cmte; cmte 22,sec; section; defense; subsection; united states; secretary; united; inserting; title; states; striking; contained; provision; ai; national; research; amended; program; senate; house; department; paragraph; amendment; states code; development; code; secretary defense; intelligence; provision sec; 000
PC6,на; за; да; се; от; по; обучение; да се; които; са; като; образованието; при; трансформация; дигитална; не; на образованието; проблеми; оценяване; трансформация на; или; решения; дигитална трансформация; акредитация; към; технологии; обучението; студентите; национална; конференция,data; ai; personal data; personal; la; ai systems; processing; systems; xml; data protection; el; section; shall; use; privacy; rcp xml; 120721; rcp; que; 10 22; protection; controller; las; users; del; los; subsection; risk; risks; used
PC7,ai; data; section; personal data; personal; subsection; ai systems; inserting; la; sec; striking; systems; title; shall; defense; paragraph; amended; united states; processing; secretary; united; states; act; el; protection; states code; data protection; code; en; use ai,digital; transformation; innovation; digital transformation; education; government; development; research; national; skills; public; economy; artificial; technologies; services; artificial intelligence; intelligence; strategy; technology; sector; ministry; 22; economic; xml; science; translated; machine translated; translated google; digital skills; google
PC8,die; und; der; des; fur; von; zu; den; das; im; mit; werden; auf; eine; ist; wurden; zur; wurde; ein; dem; fur die; durch; oder; als; uber; um; sind; einer; sich; daten,data; section; personal data; sharing; personal; data sharing; use; model; privacy; inserting; access; quality; subsection; striking; el; used; la; public; information; del; models; datasets; bias; title; health; use data; making; data strategy; sec; training
PC9,artificial; intelligence; artificial intelligence; https; www; https www; org; 2019; pdf; research; gov; personal data; 2018; personal; com; science; 2020; finland; en; use artificial; uk; 2023; intelligence systems; ethics; field artificial; report; protection; national artificial; european; council,digital; ai; transformation; skills; services; digital transformation; service; public; training; digital skills; economy; support; government; infrastructure; quality; access; digital economy; ai systems; die; indicator; ensure; new; risks; models; people; sector; und; companies; model; digital technologies
PC10,section; inserting; striking; subsection; amended; paragraph; title; redesignated; digital; amended striking; chapter; transferred; subsection section; code; shall; subparagraph; states code; ii; ar; inserting section; striking section; ticle; ar ticle; regulation; eu; redesignating; code amended; sections; european; following,sec; defense; contained; provision; senate; house; provision sec; amendment; data; senate amendment; amendment contained; house contained; contained provision; department; recedes; contained similar; similar provision; secretary; military; department defense; similar; secretary defense; 000; program; 6601; report; conferees; house recedes; security; armed
PC11,data; section; inserting; striking; subsection; amended; title; artificial; intelligence; artificial intelligence; learning; redesignated; amended striking; die; states code; sharing; machine learning; new; transferred; und; title 10; machine; subsection section; quality; 10 united; development; data sharing; training; united states; striking section,ar; ticle; ar ticle; shall; regulation; eu; ser; european; commission; author; inf; ser vices; vices; ity; par; ed; member; inf mation; mation; article; er; red; law; oj; provid; ma; author ities; ities; accordance; union
PC12,https; uk; www; https www; gov; gov uk; government; org; pdf; www gov; uk government; online; 2019; publications; com; research; government publications; 000; innovation; online targeting; cdei; 2020; science; targeting; algorithmic; bias; 2018; review; pm; 2017,artificial; intelligence; artificial intelligence; digital; personal data; personal; development; machine; shall; transformation; digital transformation; processing; systems; translated; machine translated; translated google; google; protection; implementation; security; ai systems; field; training; based; quality; measures; learning; entities; controller; education
PC13,digital; https; digital transformation; transformation; government; www; rights; https www; service; gov; decision; public; uk; human; gov uk; human rights; artificial intelligence; information; artificial; decision making; protection; services; provision; intelligence; use; national digital; security; contained; algorithmic; online,research; 000; data; science; innovation; development; scientific; projects; european; funding; support; project; la; industry; 000 000; researchers; research innovation; research development; ar; serbia; investment; technology; energy; learning; high; horizon; companies; computing; ticle; ar ticle
