pc,explained_variance_ratio,cumulative
PC1,0.005305842874879197,0.005305842874879197
PC2,0.010453949895427547,0.015759792770306744
PC3,0.008366640461561697,0.02412643323186844
PC4,0.00623415100629533,0.03036058423816377
PC5,0.005718976777689296,0.036079561015853065
PC6,0.005384491831493259,0.041464052847346326
PC7,0.00487860612136185,0.04634265896870818
PC8,0.004198554130665424,0.0505412130993736
PC9,0.0037726514589730537,0.05431386455834666
PC10,0.003605606943112138,0.0579194715014588
PC11,0.003292783876114333,0.06121225537757313
PC12,0.003119039162499728,0.06433129454007286
PC13,0.0029268468310986373,0.06725814137117149
PC14,0.002803169508974177,0.07006131088014567
PC15,0.0025474817384167864,0.07260879261856246
PC16,0.002487929152688451,0.0750967217712509
PC17,0.0022467683995244236,0.07734349017077533
PC18,0.002131296133505935,0.07947478630428126
PC19,0.001994744652293183,0.08146953095657444
PC20,0.0018922602239761015,0.08336179118055055
PC21,0.0018581836738269153,0.08521997485437746
PC22,0.001838891066094803,0.08705886592047227
PC23,0.001752782327245011,0.08881164824771728
PC24,0.001743619237066386,0.09055526748478367
PC25,0.0016097670387149041,0.09216503452349857
