pc,top_positive_terms,top_negative_terms
PC1,ai; data; digital; intelligence; development; artificial; public; research; artificial intelligence; use; systems; national; government; technology; information; innovation; new; services; technologies; sector; human; security; strategy; machine; support; based; section; shall; education; defense,unmasked unmasked; masked medium; masks masked; институциите; учебни програми; работят; учебен процес; постижения; контекста; по изкуства; съвременните; постигане на; студентите по; употреба на; постигане; бъдещите; 것이다; компютър; конкретни; материал; висока; първо; зависимост; обаче; как да; проблем; 연구; характеристики; 경쟁력; за по
PC2,ai; data; artificial; artificial intelligence; intelligence; ai systems; digital; systems; use; learning; human; models; ethical; innovation; use ai; machine; sector; uk; technologies; development; governance; principles; skills; companies; generative; society; example; generative ai; solutions; model,section; defense; 22; sec; secretary; 10; shall; subsection; 120721; 10 22; united states; united; states; title; inserting; 2021; 11; striking; paragraph; amended; 24; department; military; act; 00000; po 00000; po; dec; program; states code
PC3,la; el; en; del; que; las; los; digital; para; se; digitales; en el; nacional; transformacion; transformacion digital; como; servicio; por; en la; gobierno; una; servicios; politica; del servicio; ciudadania; indicador; datos; pcm; tecnologias; para la,ai; section; systems; defense; sec; ai systems; data; secretary; subsection; united states; united; research; states; human; 22; title; inserting; use; use ai; striking; act; risk; shall; department; 120721; models; intelligence; 10 22; risks; military
PC4,data; personal; personal data; processing; protection; data protection; information; public; digital; controller; sharing; access; shall; article; privacy; data sharing; data subject; subject; law; processing personal; person; protection personal; services; die; health; right; consent; der; ar; open,ai; ai systems; intelligence; artificial; artificial intelligence; 22; research; systems; use ai; generative; generative ai; 10; 120721; 10 22; defense; la; human; development; adoption; ethical; technology; trustworthy; ai technologies; united; el; 2021; trustworthy ai; global; ai research; national ai
PC5,на; за; да; се; от; по; обучение; да се; които; са; като; образованието; при; трансформация; дигитална; не; на образованието; проблеми; оценяване; трансформация на; или; решения; дигитална трансформация; акредитация; към; технологии; обучението; студентите; национална; конференция,ai; data; section; sec; subsection; la; defense; inserting; shall; title; secretary; striking; personal data; united states; personal; united; ai systems; states; systems; paragraph; amended; el; states code; code; act; provision; que; contained; processing; use
PC6,ai; data; personal data; personal; 22; ai systems; 120721; 10 22; la; systems; processing; 10; protection; data protection; 24; users; privacy; el; al; al 11; en; 000000 po; 000000; vhlc; 120721 120721; 120721 004; vhlc 120721; dec 07; 2021 10; 6652,digital; national; development; transformation; education; research; innovation; digital transformation; government; skills; public; economy; technology; services; technologies; artificial; intelligence; artificial intelligence; science; ministry; economic; strategy; support; plan; sector; translated; machine translated; translated google; digital skills; google
PC7,22; 120721; 10 22; 10; digital; 24; 2021; al 11; 000000; 000000 po; 6652; 6652 6201; 11 december; 07 2021; 2021 10; dec 07; 6201; 120721 004; 120721 120721; vhlc 120721; vhlc; 22 dec; 2008 10; nov 24; 24 2008; 2021 000000; 22 22; users al; 827574; 11,section; sec; ai; inserting; subsection; title; defense; striking; united states; contained; provision; united; amended; states; secretary; paragraph; amendment; senate; states code; shall; house; code; act; provision sec; senate amendment; amendment contained; house contained; redesignated; contained provision; recedes
PC8,die; und; der; des; fur; von; zu; den; das; im; mit; werden; auf; eine; ist; wurden; zur; wurde; ein; dem; fur die; durch; oder; als; uber; um; sind; einer; sich; auch,data; sharing; personal data; 22; data sharing; personal; use; 120721; 10 22; model; privacy; section; access; quality; users; el; used; la; models; public; information; bias; inserting; del; datasets; use data; subsection; data strategy; striking; making
PC9,artificial; intelligence; artificial intelligence; https; www; https www; org; 2019; pdf; research; gov; personal data; personal; 2018; science; com; 2020; finland; use artificial; en; 2023; uk; intelligence systems; ethics; report; field artificial; protection; national artificial; national; development artificial,digital; ai; skills; transformation; services; digital transformation; service; public; digital skills; training; economy; government; support; infrastructure; digital economy; access; ai systems; quality; indicator; new; ensure; die; models; risks; people; users; sector; companies; model; und
PC10,section; inserting; striking; subsection; amended; paragraph; title; redesignated; digital; amended striking; chapter; transferred; subsection section; code; states code; subparagraph; ii; inserting section; striking section; artificial; shall; artificial intelligence; redesignating; code amended; title 10; sections; ar; ransfer; eu; following,sec; defense; contained; provision; senate; house; provision sec; amendment; department; senate amendment; amendment contained; house contained; contained provision; recedes; contained similar; data; similar provision; secretary; military; department defense; secretary defense; similar; program; 000; 6601; report; conferees; security; armed; house recedes
PC11,data; inserting; section; striking; subsection; amended; title; learning; redesignated; artificial; intelligence; artificial intelligence; sharing; die; machine learning; amended striking; states code; und; new; data sharing; quality; title 10; machine; transferred; uk; 10 united; sector; training; development; subsection section,ar; shall; ticle; ar ticle; regulation; ser; eu; european; commission; author; inf; ser vices; vices; ity; par; ed; member; inf mation; mation; article; law; red; er; oj; provid; ma; accordance; author ities; ities; union
