pc,explained_variance_ratio,cumulative
PC1,0.005305842890067271,0.005305842890067271
PC2,0.010453949669256503,0.015759792559323773
PC3,0.00836664009330642,0.024126432652630193
PC4,0.006234146243852163,0.030360578896482356
PC5,0.005718974753481843,0.0360795536499642
PC6,0.005384489156598011,0.04146404280656221
PC7,0.00487860474503782,0.04634264755160003
PC8,0.00419856774110754,0.05054121529270757
PC9,0.0037726774832721323,0.0543138927759797
PC10,0.0036056141079016143,0.05791950688388131
PC11,0.003292845932412769,0.06121235281629408
PC12,0.0031190849752337183,0.06433143779152779
PC13,0.0029277326024884118,0.0672591703940162
PC14,0.0028038802481416196,0.07006305064215781
PC15,0.002548295607057562,0.07261134624921538
PC16,0.002490798110200384,0.07510214435941576
PC17,0.0022507319424105287,0.07735287630182629
PC18,0.00213525214816189,0.07948812844998818
PC19,0.0020075055222232826,0.08149563397221146
PC20,0.0018953453250910202,0.08339097929730248
PC21,0.0018696319069672136,0.0852606112042697
PC22,0.0018473511317395547,0.08710796233600926
PC23,0.0017772353294250342,0.08888519766543429
PC24,0.0017667550366023948,0.09065195270203669
PC25,0.0016353171277434847,0.09228726982978017
PC26,0.0016185957827928854,0.09390586561257305
PC27,0.0015860607957628552,0.09549192640833591
PC28,0.0015315456997881287,0.09702347210812404
PC29,0.0015097457825218987,0.09853321789064594
PC30,0.001480950073398041,0.10001416796404398
PC31,0.0014604809955016014,0.10147464895954558
PC32,0.0013950549106966632,0.10286970387024225
PC33,0.0013804937151205864,0.10425019758536283
PC34,0.0013615342098998015,0.10561173179526263
PC35,0.0013086225262907431,0.10692035432155338
PC36,0.0012689285824839353,0.10818928290403731
PC37,0.0012555285602301874,0.1094448114642675
PC38,0.001234828776562966,0.11067964024083046
PC39,0.0012265271837613029,0.11190616742459177
PC40,0.001198323946082408,0.11310449137067417
