row,doc_id,chunk_id
0,0202754ecda31003,0202754ecda31003_00000
1,0202754ecda31003,0202754ecda31003_00001
2,0202754ecda31003,0202754ecda31003_00002
3,0202754ecda31003,0202754ecda31003_00003
4,0202754ecda31003,0202754ecda31003_00004
5,0202754ecda31003,0202754ecda31003_00005
6,0202754ecda31003,0202754ecda31003_00006
7,0202754ecda31003,0202754ecda31003_00007
8,0202754ecda31003,0202754ecda31003_00008
9,0202754ecda31003,0202754ecda31003_00009
10,0202754ecda31003,0202754ecda31003_00010
11,0202754ecda31003,0202754ecda31003_00011
12,0202754ecda31003,0202754ecda31003_00012
13,0202754ecda31003,0202754ecda31003_00013
14,0202754ecda31003,0202754ecda31003_00014
15,022171a37cc70085,022171a37cc70085_00000
16,022171a37cc70085,022171a37cc70085_00001
17,022171a37cc70085,022171a37cc70085_00002
18,022171a37cc70085,022171a37cc70085_00003
19,022171a37cc70085,022171a37cc70085_00004
20,022171a37cc70085,022171a37cc70085_00005
21,022171a37cc70085,022171a37cc70085_00006
22,022171a37cc70085,022171a37cc70085_00007
23,022171a37cc70085,022171a37cc70085_00008
24,022171a37cc70085,022171a37cc70085_00009
25,022171a37cc70085,022171a37cc70085_00010
26,022171a37cc70085,022171a37cc70085_00011
27,022171a37cc70085,022171a37cc70085_00012
28,022171a37cc70085,022171a37cc70085_00013
29,022171a37cc70085,022171a37cc70085_00014
30,022171a37cc70085,022171a37cc70085_00015
31,022171a37cc70085,022171a37cc70085_00016
32,022171a37cc70085,022171a37cc70085_00017
33,022171a37cc70085,022171a37cc70085_00018
34,022171a37cc70085,022171a37cc70085_00019
35,022171a37cc70085,022171a37cc70085_00020
36,022171a37cc70085,022171a37cc70085_00021
37,022171a37cc70085,022171a37cc70085_00022
38,022171a37cc70085,022171a37cc70085_00023
39,022171a37cc70085,022171a37cc70085_00024
40,022171a37cc70085,022171a37cc70085_00025
41,022171a37cc70085,022171a37cc70085_00026
42,022171a37cc70085,022171a37cc70085_00027
43,022171a37cc70085,022171a37cc70085_00028
44,022171a37cc70085,022171a37cc70085_00029
45,022171a37cc70085,022171a37cc70085_00030
46,022171a37cc70085,022171a37cc70085_00031
47,022171a37cc70085,022171a37cc70085_00032
48,022171a37cc70085,022171a37cc70085_00033
49,022171a37cc70085,022171a37cc70085_00034
50,022171a37cc70085,022171a37cc70085_00035
51,022171a37cc70085,022171a37cc70085_00036
52,022171a37cc70085,022171a37cc70085_00037
53,022171a37cc70085,022171a37cc70085_00038
54,022171a37cc70085,022171a37cc70085_00039
55,022171a37cc70085,022171a37cc70085_00040
56,022c930c18687f91,022c930c18687f91_00000
57,022c930c18687f91,022c930c18687f91_00001
58,022c930c18687f91,022c930c18687f91_00002
59,022c930c18687f91,022c930c18687f91_00003
60,022c930c18687f91,022c930c18687f91_00004
61,022c930c18687f91,022c930c18687f91_00005
62,022c930c18687f91,022c930c18687f91_00006
63,022c930c18687f91,022c930c18687f91_00007
64,022c930c18687f91,022c930c18687f91_00008
65,022c930c18687f91,022c930c18687f91_00009
66,022c930c18687f91,022c930c18687f91_00010
67,022c930c18687f91,022c930c18687f91_00011
68,022c930c18687f91,022c930c18687f91_00012
69,022c930c18687f91,022c930c18687f91_00013
70,022c930c18687f91,022c930c18687f91_00014
71,022c930c18687f91,022c930c18687f91_00015
72,022c930c18687f91,022c930c18687f91_00016
73,022c930c18687f91,022c930c18687f91_00017
74,022c930c18687f91,022c930c18687f91_00018
75,022c930c18687f91,022c930c18687f91_00019
76,022c930c18687f91,022c930c18687f91_00020
77,022c930c18687f91,022c930c18687f91_00021
78,022c930c18687f91,022c930c18687f91_00022
79,022c930c18687f91,022c930c18687f91_00023
80,022c930c18687f91,022c930c18687f91_00024
81,022c930c18687f91,022c930c18687f91_00025
82,022c930c18687f91,022c930c18687f91_00026
83,022c930c18687f91,022c930c18687f91_00027
84,022c930c18687f91,022c930c18687f91_00028
85,022c930c18687f91,022c930c18687f91_00029
86,022c930c18687f91,022c930c18687f91_00030
87,022c930c18687f91,022c930c18687f91_00031
88,022c930c18687f91,022c930c18687f91_00032
89,022c930c18687f91,022c930c18687f91_00033
90,022c930c18687f91,022c930c18687f91_00034
91,022c930c18687f91,022c930c18687f91_00035
92,022c930c18687f91,022c930c18687f91_00036
93,022c930c18687f91,022c930c18687f91_00037
94,022c930c18687f91,022c930c18687f91_00038
95,022c930c18687f91,022c930c18687f91_00039
96,022c930c18687f91,022c930c18687f91_00040
97,022c930c18687f91,022c930c18687f91_00041
98,022c930c18687f91,022c930c18687f91_00042
99,022c930c18687f91,022c930c18687f91_00043
100,022c930c18687f91,022c930c18687f91_00044
101,022c930c18687f91,022c930c18687f91_00045
102,022c930c18687f91,022c930c18687f91_00046
103,022c930c18687f91,022c930c18687f91_00047
104,022c930c18687f91,022c930c18687f91_00048
105,022c930c18687f91,022c930c18687f91_00049
106,022c930c18687f91,022c930c18687f91_00050
107,022c930c18687f91,022c930c18687f91_00051
108,022c930c18687f91,022c930c18687f91_00052
109,022c930c18687f91,022c930c18687f91_00053
110,022c930c18687f91,022c930c18687f91_00054
111,022c930c18687f91,022c930c18687f91_00055
112,022c930c18687f91,022c930c18687f91_00056
113,022c930c18687f91,022c930c18687f91_00057
114,022c930c18687f91,022c930c18687f91_00058
115,022c930c18687f91,022c930c18687f91_00059
116,022c930c18687f91,022c930c18687f91_00060
117,022c930c18687f91,022c930c18687f91_00061
118,022c930c18687f91,022c930c18687f91_00062
119,022c930c18687f91,022c930c18687f91_00063
120,022c930c18687f91,022c930c18687f91_00064
121,022c930c18687f91,022c930c18687f91_00065
122,022c930c18687f91,022c930c18687f91_00066
123,022c930c18687f91,022c930c18687f91_00067
124,022c930c18687f91,022c930c18687f91_00068
