pc,side,rank,term
PC1,pos,1,ai
PC1,pos,2,data
PC1,pos,3,digital
PC1,pos,4,intelligence
PC1,pos,5,development
PC1,pos,6,artificial
PC1,pos,7,public
PC1,pos,8,research
PC1,pos,9,artificial intelligence
PC1,pos,10,use
PC1,pos,11,systems
PC1,pos,12,national
PC1,pos,13,government
PC1,pos,14,technology
PC1,pos,15,information
PC1,pos,16,innovation
PC1,pos,17,new
PC1,pos,18,services
PC1,pos,19,technologies
PC1,pos,20,sector
PC1,pos,21,human
PC1,pos,22,security
PC1,pos,23,strategy
PC1,pos,24,machine
PC1,pos,25,support
PC1,pos,26,based
PC1,pos,27,section
PC1,pos,28,shall
PC1,pos,29,education
PC1,pos,30,defense
PC1,neg,1,unmasked unmasked
PC1,neg,2,masked medium
PC1,neg,3,masks masked
PC1,neg,4,институциите
PC1,neg,5,учебни програми
PC1,neg,6,работят
PC1,neg,7,учебен процес
PC1,neg,8,постижения
PC1,neg,9,контекста
PC1,neg,10,по изкуства
PC1,neg,11,съвременните
PC1,neg,12,постигане на
PC1,neg,13,студентите по
PC1,neg,14,употреба на
PC1,neg,15,постигане
PC1,neg,16,бъдещите
PC1,neg,17,것이다
PC1,neg,18,компютър
PC1,neg,19,конкретни
PC1,neg,20,материал
PC1,neg,21,висока
PC1,neg,22,първо
PC1,neg,23,зависимост
PC1,neg,24,обаче
PC1,neg,25,как да
PC1,neg,26,проблем
PC1,neg,27,연구
PC1,neg,28,характеристики
PC1,neg,29,경쟁력
PC1,neg,30,за по
PC2,pos,1,ai
PC2,pos,2,data
PC2,pos,3,artificial
PC2,pos,4,artificial intelligence
PC2,pos,5,intelligence
PC2,pos,6,ai systems
PC2,pos,7,digital
PC2,pos,8,systems
PC2,pos,9,use
PC2,pos,10,learning
PC2,pos,11,human
PC2,pos,12,models
PC2,pos,13,ethical
PC2,pos,14,innovation
PC2,pos,15,use ai
PC2,pos,16,machine
PC2,pos,17,sector
PC2,pos,18,uk
PC2,pos,19,technologies
PC2,pos,20,development
PC2,pos,21,governance
PC2,pos,22,principles
PC2,pos,23,skills
PC2,pos,24,companies
PC2,pos,25,generative
PC2,pos,26,society
PC2,pos,27,example
PC2,pos,28,generative ai
PC2,pos,29,solutions
PC2,pos,30,model
PC2,neg,1,section
PC2,neg,2,defense
PC2,neg,3,22
PC2,neg,4,sec
PC2,neg,5,secretary
PC2,neg,6,10
PC2,neg,7,shall
PC2,neg,8,subsection
PC2,neg,9,120721
PC2,neg,10,10 22
PC2,neg,11,united states
PC2,neg,12,united
PC2,neg,13,states
PC2,neg,14,title
PC2,neg,15,inserting
PC2,neg,16,2021
PC2,neg,17,11
PC2,neg,18,striking
PC2,neg,19,paragraph
PC2,neg,20,amended
PC2,neg,21,24
PC2,neg,22,department
PC2,neg,23,military
PC2,neg,24,act
PC2,neg,25,00000
PC2,neg,26,po 00000
PC2,neg,27,po
PC2,neg,28,dec
PC2,neg,29,program
PC2,neg,30,states code
PC3,pos,1,la
PC3,pos,2,el
PC3,pos,3,en
PC3,pos,4,del
PC3,pos,5,que
PC3,pos,6,las
PC3,pos,7,los
PC3,pos,8,digital
PC3,pos,9,para
PC3,pos,10,se
PC3,pos,11,digitales
PC3,pos,12,en el
PC3,pos,13,nacional
PC3,pos,14,transformacion
PC3,pos,15,transformacion digital
PC3,pos,16,como
PC3,pos,17,servicio
PC3,pos,18,por
PC3,pos,19,en la
PC3,pos,20,gobierno
PC3,pos,21,una
PC3,pos,22,servicios
PC3,pos,23,politica
PC3,pos,24,del servicio
PC3,pos,25,ciudadania
PC3,pos,26,indicador
PC3,pos,27,datos
PC3,pos,28,pcm
PC3,pos,29,tecnologias
PC3,pos,30,para la
PC3,neg,1,ai
PC3,neg,2,section
PC3,neg,3,systems
PC3,neg,4,defense
PC3,neg,5,sec
PC3,neg,6,ai systems
PC3,neg,7,data
PC3,neg,8,secretary
PC3,neg,9,subsection
PC3,neg,10,united states
PC3,neg,11,united
PC3,neg,12,research
PC3,neg,13,states
PC3,neg,14,human
PC3,neg,15,22
PC3,neg,16,title
PC3,neg,17,inserting
PC3,neg,18,use
PC3,neg,19,use ai
PC3,neg,20,striking
PC3,neg,21,act
PC3,neg,22,risk
PC3,neg,23,shall
PC3,neg,24,120721
PC3,neg,25,department
PC3,neg,26,models
PC3,neg,27,intelligence
PC3,neg,28,10 22
PC3,neg,29,risks
PC3,neg,30,military
PC4,pos,1,data
PC4,pos,2,personal
PC4,pos,3,personal data
PC4,pos,4,processing
PC4,pos,5,protection
PC4,pos,6,data protection
PC4,pos,7,information
PC4,pos,8,public
PC4,pos,9,digital
PC4,pos,10,controller
PC4,pos,11,sharing
PC4,pos,12,access
PC4,pos,13,shall
PC4,pos,14,privacy
PC4,pos,15,article
PC4,pos,16,data sharing
PC4,pos,17,data subject
PC4,pos,18,subject
PC4,pos,19,law
PC4,pos,20,processing personal
PC4,pos,21,person
PC4,pos,22,protection personal
PC4,pos,23,services
PC4,pos,24,die
PC4,pos,25,health
PC4,pos,26,right
PC4,pos,27,consent
PC4,pos,28,der
PC4,pos,29,ar
PC4,pos,30,open
PC4,neg,1,ai
PC4,neg,2,ai systems
PC4,neg,3,intelligence
PC4,neg,4,artificial
PC4,neg,5,artificial intelligence
PC4,neg,6,22
PC4,neg,7,research
PC4,neg,8,systems
PC4,neg,9,use ai
PC4,neg,10,generative
PC4,neg,11,generative ai
PC4,neg,12,10
PC4,neg,13,120721
PC4,neg,14,10 22
PC4,neg,15,defense
PC4,neg,16,la
PC4,neg,17,human
PC4,neg,18,development
PC4,neg,19,adoption
PC4,neg,20,ethical
PC4,neg,21,technology
PC4,neg,22,trustworthy
PC4,neg,23,ai technologies
PC4,neg,24,united
PC4,neg,25,el
PC4,neg,26,2021
PC4,neg,27,trustworthy ai
PC4,neg,28,global
PC4,neg,29,ai research
PC4,neg,30,national ai
PC5,pos,1,на
PC5,pos,2,за
PC5,pos,3,да
PC5,pos,4,се
PC5,pos,5,от
PC5,pos,6,по
PC5,pos,7,обучение
PC5,pos,8,да се
PC5,pos,9,които
PC5,pos,10,са
PC5,pos,11,като
PC5,pos,12,образованието
PC5,pos,13,при
PC5,pos,14,трансформация
PC5,pos,15,дигитална
PC5,pos,16,не
PC5,pos,17,на образованието
PC5,pos,18,проблеми
PC5,pos,19,оценяване
PC5,pos,20,трансформация на
PC5,pos,21,или
PC5,pos,22,решения
PC5,pos,23,дигитална трансформация
PC5,pos,24,акредитация
PC5,pos,25,към
PC5,pos,26,технологии
PC5,pos,27,обучението
PC5,pos,28,студентите
PC5,pos,29,национална
PC5,pos,30,конференция
PC5,neg,1,ai
PC5,neg,2,data
PC5,neg,3,section
PC5,neg,4,sec
PC5,neg,5,subsection
PC5,neg,6,la
PC5,neg,7,defense
PC5,neg,8,inserting
PC5,neg,9,shall
PC5,neg,10,title
PC5,neg,11,secretary
PC5,neg,12,striking
PC5,neg,13,personal data
PC5,neg,14,united states
PC5,neg,15,personal
PC5,neg,16,united
PC5,neg,17,ai systems
PC5,neg,18,systems
PC5,neg,19,states
PC5,neg,20,paragraph
PC5,neg,21,amended
PC5,neg,22,el
PC5,neg,23,states code
PC5,neg,24,code
PC5,neg,25,act
PC5,neg,26,provision
PC5,neg,27,que
PC5,neg,28,contained
PC5,neg,29,processing
PC5,neg,30,use
PC6,pos,1,ai
PC6,pos,2,data
PC6,pos,3,personal data
PC6,pos,4,personal
PC6,pos,5,22
PC6,pos,6,ai systems
PC6,pos,7,120721
PC6,pos,8,10 22
PC6,pos,9,la
PC6,pos,10,systems
PC6,pos,11,processing
PC6,pos,12,10
PC6,pos,13,protection
PC6,pos,14,data protection
PC6,pos,15,24
PC6,pos,16,users
PC6,pos,17,privacy
PC6,pos,18,el
PC6,pos,19,al
PC6,pos,20,al 11
PC6,pos,21,en
PC6,pos,22,000000 po
PC6,pos,23,000000
PC6,pos,24,vhlc
PC6,pos,25,120721 004
PC6,pos,26,120721 120721
PC6,pos,27,vhlc 120721
PC6,pos,28,dec 07
PC6,pos,29,2021 10
PC6,pos,30,6652
PC6,neg,1,digital
PC6,neg,2,national
PC6,neg,3,development
PC6,neg,4,transformation
PC6,neg,5,education
PC6,neg,6,research
PC6,neg,7,innovation
PC6,neg,8,digital transformation
PC6,neg,9,government
PC6,neg,10,skills
PC6,neg,11,public
PC6,neg,12,economy
PC6,neg,13,technology
PC6,neg,14,services
PC6,neg,15,technologies
PC6,neg,16,artificial
PC6,neg,17,intelligence
PC6,neg,18,artificial intelligence
PC6,neg,19,science
PC6,neg,20,ministry
PC6,neg,21,economic
PC6,neg,22,strategy
PC6,neg,23,support
PC6,neg,24,plan
PC6,neg,25,sector
PC6,neg,26,translated
PC6,neg,27,machine translated
PC6,neg,28,translated google
PC6,neg,29,digital skills
PC6,neg,30,google
PC7,pos,1,22
PC7,pos,2,120721
PC7,pos,3,10 22
PC7,pos,4,10
PC7,pos,5,digital
PC7,pos,6,24
PC7,pos,7,2021
PC7,pos,8,al 11
PC7,pos,9,000000
PC7,pos,10,000000 po
PC7,pos,11,6652
PC7,pos,12,6652 6201
PC7,pos,13,11 december
PC7,pos,14,07 2021
PC7,pos,15,2021 10
PC7,pos,16,dec 07
PC7,pos,17,6201
PC7,pos,18,120721 120721
PC7,pos,19,120721 004
PC7,pos,20,vhlc
PC7,pos,21,vhlc 120721
PC7,pos,22,22 dec
PC7,pos,23,2008 10
PC7,pos,24,nov 24
PC7,pos,25,24 2008
PC7,pos,26,2021 000000
PC7,pos,27,22 22
PC7,pos,28,users al
PC7,pos,29,827574
PC7,pos,30,11
PC7,neg,1,section
PC7,neg,2,sec
PC7,neg,3,ai
PC7,neg,4,inserting
PC7,neg,5,subsection
PC7,neg,6,title
PC7,neg,7,defense
PC7,neg,8,striking
PC7,neg,9,united states
PC7,neg,10,contained
PC7,neg,11,provision
PC7,neg,12,united
PC7,neg,13,amended
PC7,neg,14,states
PC7,neg,15,secretary
PC7,neg,16,paragraph
PC7,neg,17,amendment
PC7,neg,18,senate
PC7,neg,19,states code
PC7,neg,20,shall
PC7,neg,21,house
PC7,neg,22,code
PC7,neg,23,act
PC7,neg,24,provision sec
PC7,neg,25,senate amendment
PC7,neg,26,amendment contained
PC7,neg,27,house contained
PC7,neg,28,redesignated
PC7,neg,29,contained provision
PC7,neg,30,recedes
PC8,pos,1,die
PC8,pos,2,und
PC8,pos,3,der
PC8,pos,4,des
PC8,pos,5,fur
PC8,pos,6,von
PC8,pos,7,zu
PC8,pos,8,den
PC8,pos,9,das
PC8,pos,10,im
PC8,pos,11,mit
PC8,pos,12,werden
PC8,pos,13,auf
PC8,pos,14,eine
PC8,pos,15,ist
PC8,pos,16,wurden
PC8,pos,17,zur
PC8,pos,18,wurde
PC8,pos,19,ein
PC8,pos,20,dem
PC8,pos,21,fur die
PC8,pos,22,durch
PC8,pos,23,oder
PC8,pos,24,als
PC8,pos,25,uber
PC8,pos,26,um
PC8,pos,27,sind
PC8,pos,28,einer
PC8,pos,29,sich
PC8,pos,30,auch
