pc,explained_variance_ratio,cumulative
PC1,0.027070586533623504,0.027070586533623504
PC2,0.0113616068537986,0.038432193387422105
PC3,0.01481786134373472,0.05325005473115682
PC4,0.010256046947304804,0.06350610167846163
PC5,0.01004185161224582,0.07354795329070744
PC6,0.008031806334487959,0.0815797596251954
PC7,0.006927889511723692,0.0885076491369191
PC8,0.006689324294495283,0.09519697343141438
PC9,0.00626807069650283,0.10146504412791721
PC10,0.006137462235934075,0.10760250636385128
PC11,0.0053231653049482484,0.11292567166879953
PC12,0.004977154807412461,0.117902826476212
PC13,0.004558729458015882,0.12246155593422789
PC14,0.004520073271413992,0.12698162920564188
PC15,0.004270555941860977,0.13125218514750286
PC16,0.004161895584010969,0.13541408073151384
PC17,0.0038365146410055226,0.13925059537251935
PC18,0.0033832611410403246,0.14263385651355967
PC19,0.0032774619324679255,0.1459113184460276
PC20,0.003203228378561206,0.1491145468245888
PC21,0.0030046633485092907,0.1521192101730981
PC22,0.0029291984357498243,0.15504840860884792
PC23,0.002863486897406099,0.157911895506254
PC24,0.0027044141308653975,0.1606163096371194
PC25,0.002567066030396797,0.1631833756675162
PC26,0.002537124970164857,0.16572050063768107
PC27,0.0022970614796459688,0.16801756211732705
PC28,0.0022674635756469324,0.170285025692974
PC29,0.0021853056472424448,0.17247033134021644
PC30,0.0021695482179069684,0.1746398795581234
PC31,0.0020925060802625926,0.176732385638386
PC32,0.002018233551337487,0.1787506191897235
PC33,0.0019957851483798773,0.18074640433810335
PC34,0.0019405284291812688,0.18268693276728462
PC35,0.0019305378749373868,0.184617470642222
PC36,0.00187903109121164,0.18649650173343366
PC37,0.0018350387850408756,0.18833154051847453
PC38,0.001788505940701311,0.19012004645917585
PC39,0.0017615205762553348,0.1918815670354312
PC40,0.0017509774118757654,0.19363254444730696
