pc,top_positive_terms,top_negative_terms
PC1,на; за; да; се; от; по; обучение; да се; които; са; като; образованието; при; не; трансформация; студентите; дигитална; или; на образованието; оценяване; проблеми; обучението; трансформация на; към; решения; акредитация; дигитална трансформация; това; че; технологии,007 017; 005 017; 012 038; 046 008; 047 110; 038 002; 000 002; 008 011; 895; 033 100; 261; 008 018; 006 014; 013 003; 012 036; 000 194; 025 057; 596; 031 074; 029 069; 554; 069 009; 367; 450; 022 049; 057 012; 012 048; 115 013; 009 031; 014 025
PC2,ai; digital; quality; learning; education; machine; machine learning; use; data; skills; training; educational; government; students; digital skills; research; external; development; safety; technologies; support; systems; external quality; level; based; intelligence; set; elements; public; requirements,на; да; за; се; от; по; да се; които; са; като; не; обучение; или; при; това; че; трябва; студентите; към; може; трябва да; процес; може да; чрез; до; ще; могат; могат да; бъдат; което
PC3,quality; machine learning; machine; learning; external; external quality; safety; learning elements; elements; quality use; plant; internal quality; requirements; operation; internal; level; case; set; data; use; use case; guidelines; guideline; reliability; common; learning element; items; required; components; aversion,digital; education; ai; skills; digital skills; training; educational; technologies; students; government; research; plan; support; malta; digital technologies; european; schools; public; teachers; intelligence; school; national; strategy; ministry; teaching; transformation; artificial; new; artificial intelligence; eu
PC4,ai; malta; generative; use ai; educational; intelligence; students; educators; artificial; generative ai; tools; use; artificial intelligence; ai systems; leaders; educational leaders; student; risks; ai tools; systems; instructional; data; pages; 2024; human; ethical; ai education; privacy; ai literacy; content,digital; digital skills; skills; 1e; 3e; training; education; quality; masked; 03; 02; plan; digital technologies; government; transformation; ministry; digital education; brussels; 01; digital transformation; european; vocational; machine learning; ict; national; masked masked; technologies; vocational training; 04; external
PC5,1e; 3e; masked; 03; 02; ai; 01; masked masked; 03 3e; 1e 03; 3e 03; 3e 02; 1e 02; 02 3e; 02 1e; 03 1e; 06; 1e 01; unmasked; fmr; 05; 04; false; match; match rate; mask; face; rate; unmasked masked; algorithms,digital; digital skills; skills; training; education; quality; digital technologies; government; plan; digital education; ministry; technologies; transformation; brussels; machine learning; digital transformation; european; external; vocational; ict; ministry education; machine; learning; vocational training; education training; external quality; skills training; national; programme; action
PC6,digital; digital skills; skills; education; learning; ai; educational; students; technologies; digital technologies; teachers; teaching; use; digital education; machine learning; educators; quality; literacy; 3e; education training; 1e; tools; schools; online; school; ict; skills training; student; teacher; plan digital,government; brussels; policy; aid; research; article; public; region; order; section; law; innovation; shall; research innovation; council; boe; policy council; project; science; science research; beneficiary; support; chair; accordance; regulations; translated; machine translated; regional; translated google; expenses
PC7,да; government; се; brussels; да се; за; 3e; от; трябва; region; трябва да; които; 1e; не; по; като; support; policy; или; това; може; може да; regional; training; public; могат; са; могат да; social; бъдат,трансформация; оценяване акредитация; оценяване; дигитална трансформация; проблеми решения; решения оценяване; конференция дигитална; образованието проблеми; национална конференция; акредитация; трансформация на; конференция; национална; дигитална; решения; на образованието; проблеми; образованието; https; aid; article; 2020; 000; 2022; research; university; www; 10; 000 000; boe
PC8,government; brussels; region; 3e; support; policy; трансформация; оценяване акредитация; оценяване; дигитална трансформация; проблеми решения; акредитация; решения оценяване; трансформация на; конференция дигитална; образованието проблеми; национална конференция; конференция; национална; дигитална; решения; на образованието; образованието; проблеми; regional; 1e; social; housing; urban; local,aid; article; boe; law; да; 000; 000 000; research; beneficiary; section; chair; https; expenses; 2022; accordance; december; application; digital; submitted; es; iii; provisions; 38 2003; 2003; november; shall; law 38; transformation; official; face
PC9,3e; 1e; 03; 02; research; innovation; science; research innovation; education; policy council; 3e 02; 02 1e; 02 3e; 1e 02; 03 1e; 1e 03; 03 3e; 3e 03; 1e 01; masked masked; council; aid; section; science research; article; shall; 04; higher education; law; 05,000; 000 000; mask; match rate; face; false; match; rate; 001; government; fnmr; algorithms; 002; brussels; 021e 01; 021e; 031e; 041e; 061e 051e; 041e 031e; 031e 021e; 061e; 051e; 051e 041e; 1e 061e; 2020; 005; non match; images; false non
PC10,education; research; science; innovation; research innovation; policy council; science research; higher education; council; higher; policy; educational; technologies; act; education science; ministry education; digital technologies; office; schools; education youth; youth sports; ministry; sports; shall; school; technology; youth; national science; budget; nrct,digital skills; skills; ai; training; aid; digital; article; plan; malta; boe; law; beneficiary; public; european; action; transformation; eu; 3e; skills training; recovery; chair; es; expenses; applications; iii; actions; costs; project; order; 2022
PC11,digital skills; skills; innovation; research innovation; policy council; science; malta; ai; science research; council; national; research; act; training; policy; shall; higher education; higher; section; nrct; national science; committee; office; nstda; digital; education science; fund; innovation policy; science technology; skills training,educational; education; digital technologies; school; schools; sports; technologies; education youth; youth sports; youth; ministry education; teachers; 31 12; students; 31; aid; teaching; state; article; state budget; brussels; ministry; activities; implementation; cooperation; support; op; deadline; 12; boe
