pc,direction,rank,term,loading
1,positive,1,ai,0.4020345023995935
1,positive,2,data,0.2556668853909132
1,positive,3,digital,0.12745427244243848
1,positive,4,intelligence,0.11062396396133138
1,positive,5,development,0.1097819877777338
1,positive,6,artificial,0.10639946586191024
1,positive,7,public,0.10479202087115834
1,positive,8,research,0.10449220775972161
1,positive,9,artificial intelligence,0.10245385771834645
1,positive,10,use,0.10169701819435448
1,positive,11,systems,0.09285841791866217
1,positive,12,national,0.0916528806075696
1,positive,13,government,0.09097275603047289
1,positive,14,technology,0.08018446598903255
1,positive,15,information,0.07914900258232987
1,positive,16,innovation,0.07335172761178069
1,positive,17,new,0.07205045790606833
1,positive,18,services,0.07043836687407697
1,positive,19,technologies,0.06969654877416062
1,positive,20,sector,0.06641126705379424
1,positive,21,human,0.06281550743281186
1,positive,22,security,0.06179088014803169
1,positive,23,strategy,0.06094853786620199
1,positive,24,machine,0.05996709202888184
1,positive,25,support,0.05960626543369078
1,positive,26,based,0.05840354852749459
1,positive,27,section,0.0582321254897354
1,positive,28,shall,0.056715192430687976
1,positive,29,defense,0.05577022094255698
1,positive,30,education,0.055766313262354025
1,negative,1,masks masked,1.5430085466649503e-06
1,negative,2,masked medium,1.5430085466649503e-06
1,negative,3,unmasked unmasked,1.5430085466649503e-06
1,negative,4,институциите,1.6678275462240634e-06
1,negative,5,учебни програми,2.0840707932377858e-06
1,negative,6,работят,2.2338869645730996e-06
1,negative,7,учебен процес,2.238078508506429e-06
1,negative,8,постижения,2.243481627686957e-06
1,negative,9,страна на,2.2486776337510847e-06
1,negative,10,контекста,2.2820246049569048e-06
1,negative,11,по изкуства,2.402472377309061e-06
1,negative,12,съвременните,2.406606287950245e-06
1,negative,13,постигане на,2.4119783704840912e-06
1,negative,14,текст,2.430415866706184e-06
1,negative,15,студентите по,2.489630855299157e-06
1,negative,16,употреба на,2.539894160728077e-06
1,negative,17,бъдещите,2.548938646475797e-06
1,negative,18,постигане,2.5493974467316306e-06
1,negative,19,компютър,2.6020423738713577e-06
1,negative,20,конкретни,2.616785441776644e-06
1,negative,21,материал,2.6477317546359577e-06
1,negative,22,висока,2.6705653111563165e-06
1,negative,23,първо,2.6909730305909185e-06
1,negative,24,обаче,2.715504926396248e-06
1,negative,25,как да,2.731206368384642e-06
1,negative,26,се осъществява,2.789724787786428e-06
1,negative,27,характеристики,2.833420129364322e-06
1,negative,28,за по,2.8638345601718838e-06
1,negative,29,усвояване на,2.944484456747316e-06
1,negative,30,осъществява,2.985994373206597e-06
2,positive,1,ai,0.23835374337043802
2,positive,2,data,0.10656903806138777
2,positive,3,artificial,0.04433361441106947
2,positive,4,artificial intelligence,0.04335950507636596
2,positive,5,digital,0.03842363873333567
2,positive,6,intelligence,0.0366142827557408
2,positive,7,ai systems,0.03045399020251059
2,positive,8,use,0.02880860094164236
2,positive,9,systems,0.028221909632396687
2,positive,10,learning,0.024712825184321767
2,positive,11,innovation,0.024448860036744582
2,positive,12,human,0.02436016380066131
2,positive,13,development,0.023470145624449084
2,positive,14,sector,0.02256228274244666
2,positive,15,machine,0.022389194564649672
2,positive,16,models,0.021874298116613036
2,positive,17,technologies,0.02183279224712443
2,positive,18,ethical,0.020966584679409074
2,positive,19,government,0.020399752380497325
2,positive,20,use ai,0.020193122953547415
2,positive,21,uk,0.02006502891510068
2,positive,22,companies,0.019025387199383025
2,positive,23,skills,0.01884115600906061
2,positive,24,governance,0.018749686090013994
2,positive,25,society,0.01807421748701847
2,positive,26,principles,0.018007027123526767
2,positive,27,european,0.017941996228789142
2,positive,28,personal data,0.017850532269798235
2,positive,29,personal,0.017496375599698095
2,positive,30,example,0.017040938209640883
2,negative,1,22,-0.20093369500111785
2,negative,2,xml,-0.19808683046855294
2,negative,3,section,-0.170036087830458
2,negative,4,defense,-0.16609218816977236
2,negative,5,sec,-0.15226192232658833
2,negative,6,10,-0.15112445409822386
2,negative,7,secretary,-0.13433590496055792
2,negative,8,rcp xml,-0.13285088581164226
2,negative,9,rcp,-0.13278414539099836
2,negative,10,120721,-0.13271680646850206
2,negative,11,10 22,-0.13112914814364224
2,negative,12,shall,-0.12517148866166358
2,negative,13,subsection,-0.12389268300324704
2,negative,14,united states,-0.10077675056346995
2,negative,15,2021,-0.10051246852501877
2,negative,16,united,-0.10000829760588437
2,negative,17,11,-0.09773785734728166
2,negative,18,states,-0.09348685544957541
2,negative,19,title,-0.09214238538752653
2,negative,20,inserting,-0.09027662710543753
2,negative,21,24,-0.08648020699573358
2,negative,22,striking,-0.07958414362341455
2,negative,23,paragraph,-0.07809891601146722
2,negative,24,military,-0.0716270944070643
2,negative,25,jkt,-0.07029828128333539
2,negative,26,sfmt,-0.07028822818879885
2,negative,27,fmt,-0.07026550575214617
2,negative,28,frm,-0.07026472676921411
2,negative,29,00000,-0.07024117443804591
2,negative,30,verdate,-0.07016585882607745
3,positive,1,la,0.5183133014999348
3,positive,2,el,0.3167195272498433
3,positive,3,en,0.3012681552783344
3,positive,4,del,0.23530481648307872
3,positive,5,que,0.22362949973400717
3,positive,6,las,0.21187515594321316
3,positive,7,los,0.2089936927596624
3,positive,8,digital,0.19187995347544348
3,positive,9,para,0.14172604650157147
3,positive,10,se,0.13962780864404423
3,positive,11,digitales,0.10380244910633883
3,positive,12,en el,0.09549181225715979
3,positive,13,nacional,0.09015317212207688
3,positive,14,transformación,0.08908658094319032
3,positive,15,transformación digital,0.08282838157933756
3,positive,16,servicio,0.08139265230727112
