country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
African Union,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.003867816045697139,0.0016585196867307497,6.985860292193213e-05,0.003481240560350221,0.004982749568079528,5.61032686002766e-06,0.0033723563003341213,1.7144457591995834e-05,0.007583647976318479,7.09520563444465e-05,0.000893069128725787,0.00016128310679603027,0.0020228594117712305,0.001425877884850156,0.0008234466568654469,0.0011397939865683013,0.0003448480611552678,0.0004896717936662845,0.0017034957965526717,0.00041707716838085263,0.00103303695429903,0.0001476127218474346,0.000299294173334684,0.001176911127951735,0.00037882578373247226
Australia,0.0026224229741477504,0.0011115750769106578,0.0001382925116920394,0.0030241735489449067,0.0003319132684451212,6.9456626222629194e-06,0.0037120955305337774,1.2545342774424514e-05,0.0010482863835801438,0.00019881275502455187,0.00035808946605215257,0.0015817312653613246,0.0014158222634878261,0.0013765806457077755,0.0006422008709568581,0.0006522601080296568,0.000901282392036829,0.0005726942285021208,0.0015020046020849088,0.000563621111946524,0.0003354796736630789,0.0005497905122753576,0.0007075125018134828,0.0009651794872844559,0.0013433791175436966
Austria,0.0022598093486110955,0.0009819483732596826,0.0001795998031047795,0.006784554631556805,0.004914560462271326,9.956493363907371e-06,0.00398173177102543,0.024517676025459456,0.002897061910662554,0.00023932439938458109,0.0012921423897675392,0.000728158646031237,0.0008772073668377051,0.003002487317158612,0.0005934170653293421,0.0007726618005400594,0.00047185518310951434,0.0002881098824859545,0.0014457310565923612,0.0001758818750075477,0.00046714266165841245,0.00036191888746701256,0.0010520917451988067,0.001215511974295518,0.001502449933957456
Belgium,0.0016991922672817022,0.00032144571943035644,0.0004360761243414713,0.0016885063885803623,0.00037794338946196756,7.196361938763653e-06,0.005463921165513825,9.11940940424665e-06,0.0007050871136457567,0.00010721038938863838,0.0009080930068905216,0.00029115111913316895,0.0037339645648635403,0.001378721013821771,0.0012325799580657252,0.00040660673921526696,0.0007044857903663877,0.0005373942240387585,0.0012313360448070667,0.00040041255127676897,0.0002741594664026995,0.0005015745696531486,0.0006923054080012222,0.0006534985375967222,0.0006190449026739791
Brazil,0.0008141898507127417,0.0006378958268875348,4.1724703164994726e-05,0.00011170612198534789,0.0002129571779497051,1.7762709631558442e-06,0.0006884393933324273,0.000102119082980928,0.02074150950064112,0.0003338051231981967,0.000460060470717218,0.005640466529544079,0.0035739890608990315,0.0013267118218815354,0.000548056428211599,0.00020988178173282708,0.0014253375607787503,0.0010776305579017164,0.003731080011880112,0.0004299078944043342,2.2592388155023758e-05,4.178881356526792e-05,0.00013125736013581922,0.000741317058525132,0.0007007032380414688
Bulgaria,0.0032509931925244987,0.0005201022264901848,7.519993377868043e-05,0.0028423694974778354,6.878521487842042e-05,0.0008656941340391688,0.000976372850651237,2.3625314636170204e-05,0.0006381278185757329,5.6182060250216144e-05,0.00011515897565097284,0.00038660934812695977,0.0002901484456223833,0.0009591210921619894,0.0006773033547069278,0.0003912968218750121,0.001482724962452107,0.00030650630813111867,0.0014431030322909807,0.0002569274795996778,0.0003481075266686716,0.0007105834820839486,0.0003826464240706667,0.0010681697275715287,0.0038621060258105335
Canada,0.003392902330298636,0.001392750516869511,0.0001261232972155142,0.0034542438562367617,0.0004732678165707325,5.016958487068099e-06,0.0028633674745574722,3.970064520286632e-05,0.0035845762826200683,0.00026159169609106606,0.00035161196956234707,0.0011934166281102323,0.0017714904944898019,0.002193029419992798,0.0009378154389283493,0.0009897568408702585,0.0006985072196877422,0.00021814026158718819,0.0008436960468855306,0.0006773918750871144,0.000353644706629306,0.0015756849698514853,0.0013382802683692832,0.0004885355781631703,0.002218683882484691
Chile,0.005386702593494546,0.0008682280714132515,0.00022370549721194895,0.003605958058366942,0.0014134092777489998,4.20754197253818e-06,0.0011308602696882965,4.945714592885555e-05,0.001608267188044195,0.00013046001008230342,0.0007811413488938249,0.0016724107578819038,0.0016908953773377316,0.0009091699638960053,0.0010790923103991496,0.0007394569176851209,0.000704214303662259,0.00044774767290699555,0.0007871150943581073,0.0009752064314907305,0.0004531070017519601,0.001376050778726303,0.0004822965819032005,0.0008990706577188485,7.03781312200946e-05
China,0.006215276199915663,0.0016082648567952275,0.0001343310793013416,0.004055793428988258,0.0005075287833219647,7.166940345584677e-06,0.0029542422525262835,3.618498840922242e-05,0.005261311165805125,9.211484116467778e-05,0.0003970548279781727,0.0018851403544394322,0.0012033975799666692,0.0015914607987839585,0.0003978477158559366,0.0008690935900796694,0.0010044475278796884,0.0005567760632726127,0.0013697707575863081,0.0004871353348839412,0.00024853153910305264,0.0006672507765428715,0.0011438602497858624,0.0011000838210869068,0.00037884136422268444
Colombia,0.0016684105698845173,0.0006955016270987978,0.00021021957486866072,0.0023068523716816233,0.00018501594675566114,2.6969259558795283e-06,0.001712713206254097,1.4397152886330335e-05,0.001785710256036091,7.975536394159684e-05,0.0003963463845923573,0.00047839037686608904,0.00158706259818546,0.0009506493862884341,0.000790086238270684,0.0005819055344775213,0.0005752509394056682,0.0008383096840222509,0.0006521870195581202,0.00043826177632510464,0.00040397382036612086,0.0002694851463006485,0.00027828221089877975,0.0007529230443079365,0.00030061783000532465
Costa Rica,0.00020125643639102144,1.0730953886128723e-06,9.097896864357539e-05,0.00012365070498214842,2.2889833539647065e-05,3.4596425666634837e-07,9.76042389455082e-06,1.1137220884087219e-05,0.00014866471885086535,0.00011760902079680195,6.023993573262548e-05,0.0001811414640372966,9.984341537543613e-06,1.855587360632009e-06,1.6721359806990935e-05,0.0002433024148030029,0.00021684454157313584,1.7612704704855966e-05,2.4578279171507533e-05,0.0005802172764410583,2.6401890555795984e-05,0.00015437834425080038,4.4003303668521315e-06,2.825447960846626e-06,8.03880457688697e-05
