doc_id,reason
57d708520c34a8f6,Transport regulation – testing self-driving vehicles (not education)
b3bfe8a8c7e5d5e6,Vehicle road testing regulation (not education)
11df4d5b7abc6ce1,AI regulatory testing frameworks (not education)
7855a7502407511b,AI governance testing framework (not education)
fa3ce29c53c42250,AI testing framework and toolkit (not education)
2c30de961c752d05,Algorithm assessment report – governance focus (not education)
56042fdd4168152b,General policy assessment (not education-specific)
11cdf8a19e38de8f,Insurance and flood damage assessment (not education)
3821c3748b54a493,National AI readiness assessment (not education)
4d2dbc4505a7a1f3,Employment and hiring algorithm assessment (not education)
