country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Australia,0.002695970341182546,0.0030079222100931127,0.00047221031501919745,0.004463185948438377,0.000369671398419382,3.8890415125023836e-05,0.015367906211636057,2.0644036872489458e-05,3.082505974440765e-05,1.2482731951137357e-05,1.9177519518278636e-05,0.0042459475414002345,0.0018608592082177996,3.2889834918212786e-06,3.721318539713459e-05,0.0003865361608204928,0.00220523210050892,0.0017921450892713425,0.0028863837174107083,0.0028628459876122057,0.0002849838771522276,0.0008873202619382116,0.0006515350857664685,0.0011850970308422647,0.009415559424490644
Austria,0.0033872100025873803,0.001088941343879133,2.663437836929758e-05,0.0038721502883546973,4.947274933312161e-05,1.643848250935939e-08,0.0002774020820484039,8.456373115564918e-06,0.0019284321561300615,0.00012832106800727292,2.669317992221196e-06,0.0001345628287090342,0.00043863417340870957,0.0007337315152810941,0.0006774742700975241,6.802821717489733e-06,0.002218817191037701,3.5294652981916377e-07,0.0005676952587670748,4.331988366831632e-05,0.000995811814807072,1.4520197811024839e-09,5.6355424113331916e-05,0.0018114693041113357,0.0023991709814293162
Belgium,0.0012858685887105381,4.5271166544939285e-06,2.3548542314796368e-08,0.0005861818465354548,3.135526964242388e-07,9.791696570936826e-09,0.0003212852797937411,7.347612295489599e-06,0.0005261373319171966,6.989475678371689e-06,2.803672654271295e-05,0.00012740013215837437,0.0016788720405834239,0.0003639081958756034,0.000632810925469206,0.00017356416604770282,0.0026938528066580906,0.0008170610901210172,0.0023356836959862307,0.00016170078652789197,2.4055598664135107e-05,7.704200895645869e-05,0.0030855056306240717,0.0007388910375557415,0.00016779442031304663
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,
China,0.015369340906482369,0.0015866104523987086,0.00012308357110578562,0.003442803504301587,6.84182750080282e-05,4.2659820332048367e-07,0.0005515884170885289,1.9692444970051937e-06,0.0022224133683600936,1.0535133723348214e-05,9.391700846357079e-05,7.789709336738377e-06,0.0002580208813278105,0.00010754543580947901,0.00011650682284516669,3.7280947826288934e-05,0.0038091718964733874,0.0009717197754370214,0.006398961070086502,8.924122263607618e-07,0.0002236174324000407,7.557314242377745e-06,0.0016719028998752265,0.0019479941652296004,0.00017744133436626024
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,0.0024483289777929157,0.00026208120242868807,7.502736744984753e-05,0.00020406410094798554,0.0002477823719708328,7.255375336658035e-06,0.006040138631188559,2.9120108613550675e-06,0.002445975166364185,3.6166212811086394e-06,7.488094940535934e-05,0.0026344363780307287,0.001067996308578633,0.0009373833829995812,0.0010231600325480207,0.00018164763871355934,0.0022873864259667126,0.0014074075345912266,0.009231604758542672,9.616730822863317e-05,0.0005166920600857139,2.3692926937652577e-05,0.003309992962226965,0.004562618801180739,0.0004627458174324361
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,0.0011412634993206326,0.000120215619615998,1.5548217587231079e-06,6.008634596825325e-06,3.962467501302625e-06,7.293645401021056e-08,3.4358072754187513e-05,1.688325944708649e-07,4.482456752004231e-06,1.2695002111750129e-05,5.473480830282248e-06,1.7231716170367273e-06,6.046591025529584e-05,7.041231006582879e-07,9.70327879264426e-06,9.331656251196536e-05,1.4619584932949676e-06,7.168426334755146e-05,3.1395332547582117e-06,3.867581962561261e-05,9.095427192090375e-09,6.201841838300093e-05,0.00018920063387762933,3.273570690819396e-05,5.6523824669209e-08
France,0.0002560102791307586,2.3186731540025436e-05,1.3035898610960228e-05,1.6654215251228287e-06,0.0002911668816440179,1.141427778159487e-06,0.0017596394509188892,2.1814144646260876e-07,0.0018324674777429324,3.4231130487797415e-06,0.0003617592740941464,0.0004591939314020616,4.824941381962606e-07,1.4624920817756249e-05,0.0003717636880796088,0.001697904955419843,0.00035589177760270754,0.00030542715539289965,0.002580838784893584,0.0008353546450180599,4.674343876931247e-05,0.0013760994545980413,0.0003676514356240593,0.00016398292629956525,1.6107994171500258e-05
Germany,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,0.005871642023103714,0.0016990050851974372,0.00011230965187604187,0.0032614255143305843,4.597248399903667e-05,1.1766804962165246e-06,0.0005123431471414007,5.486284721925407e-07,4.888231215808491e-06,4.42698557512073e-05,0.0006040773723529868,3.993534971727892e-05,0.0012064342827209473,0.0023789270809062998,0.0005308993281509314,0.0007548846550379158,0.0002439328724175903,4.699842808523569e-05,0.0017747611158302045,8.486304389957502e-06,7.904692404836615e-05,0.0003979573538108003,0.0005770092613694177,0.0004901860752285935,7.088717513018675e-05
Romania,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,0.000562398087562689,0.0008346370590375543,0.0007748244906992574,4.277219833475316e-05,9.45941013448854e-05,5.5777193170320395e-06,0.007205993245670751,1.340009849289458e-05,0.003543131870274039,3.898424066832212e-05,0.0024396369250768097,0.0019312889624330597,0.004226707054367415,0.007120628615325985,0.003750094278245891,0.0034558821332829484,0.0006510351411719827,0.0007673992172831319,0.008932121179322539,0.00018326403592186367,0.0005189441963430008,0.0027350407999776226,0.002698234658245623,0.0003360597729458035,1.3721252535331456e-05
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,
Türkiye,0.00402488677549513,0.0008604058050521071,0.000298994602055748,0.0007586109241474777,0.00011082336257425277,1.1117318719894628e-07,6.655638983866644e-05,2.0085989776407476e-05,0.007921411566999348,2.6034246597886386e-05,0.0004681959148184477,0.0014248848524112713,0.000767114085073357,0.00016123794122096955,0.0002674818012188005,0.00011381281449441352,0.001111517372263118,0.0003620591753560564,0.001251129430688244,0.0010569809559183546,7.918504584898607e-05,0.00028407768415140435,9.576991500345995e-05,0.00016511797966446673,0.00019413775153535325
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,
United States,0.002549930171157052,0.0024374629973580864,5.690007941715811e-05,0.0010570648660487745,0.0019465692974060562,4.826999925698078e-06,0.0024582110454888064,7.966194632646693e-06,0.0027348392920758455,3.067659448625236e-05,0.00019910608804541777,0.0013938949710559344,0.0006039594305610606,0.00028545110230127535,0.0021447863570646605,0.0009646446163006674,0.0009136187214058395,0.0006670733883256307,0.0029351595407980198,0.0002117030073028552,0.00043363659486031616,0.00010473276071814707,0.00020016211058424737,0.00021175453107738577,0.00010051299828154195
