a_norm,count
government,382
it,284
that,142
they,88
this,86
we,86
which,64
educational leaders,59
ai,45
region,37
"unauthorized use , reproduction , or distribution of individual content or entire pages",36
you,30
who,23
this principle,18
programme,18
educators,16
students,12
beneficiary,12
special attention,11
projects,11
commission,10
corporation,10
teachers,10
application,9
applicant,9
malta,9
machine translated by google  government,8
project,8
this guideline,8
digital education strategy,8
calls for proposals,8
department,8
strategy,8
ai systems,8
award procedure used,7
action plan,7
aid,7
ai literacy,7
test operators,7
mede,7
following,7
plan,7
task force,7
this plan,6
applications,6
technology,6
test operator,6
schools,6
what,6
everyone,6
this section,6
educational leader,6
beneficiaries,6
policy council,5
digital,5
digital skills,5
country,5
these,5
eu,5
this document,5
failures,5
this programme,5
case,5
particular attention,5
leaders,5
organisations,5
maltese government,5
"ministry of education , youth and sports",4
humans,4
report,4
i,4
programme team,4
ÿ,4
mdia,4
paragraph one,4
people,4
eligible expenses,4
european commission,4
this process,4
these skills,4
beneficiary entity,4
training programmes,4
authorities,4
digital technologies,4
users,4
these three chatbots,3
these systems,3
these goals,3
machine learning elements,3
organizers,3
initiative,3
payment,3
ai tools,3
your district,3
all children,3
this initiative,3
evaluation,3
document,3
digitalisation,3
this report,3
a teacher,3
these documents,3
information,3
ai system,3
auditor,3
citizens,3
uom,3
● ai - enhanced products and services,3
test manager and  test driver,3
selected projects,3
team,3
"i may 1 ,",3
these resources,2
external quality,2
these guidelines,2
these core elements and principles,2
tests,2
these chairs,2
this line of action,2
this decision,2
this call,2
this call for expressions of interest,2
effectiveness of  agreement,2
corresponding transfer of concepts and documents,2
each person in charge,2
education,2
educational institutions,2
companies,2
corresponding procedure,2
consumers,2
these reforms,2
this act,2
this committee,2
this pathway,2
documentation,2
digital technology,2
digital competence,2
entity,2
educators themselves,2
cover page and table of contents,2
bpv,2
brussels region,2
this proposal,2
certification process,2
this strategy,2
this vision,2
this service,2
this resolution,2
attention,2
us,2
tuning,2
various studies,2
3 data,2
a task force,2
action at eu level,2
tools,2
decision,2
body,2
application for authorization,2
developers,2
data,2
deadline for submitting applications,2
consideration,2
connected schools programme,2
corresponding translation of concepts and documents,2
digital education,2
system,2
sufficient operational data,2
subcontracted tasks,2
financial support,2
test driver,2
technology pact,2
plant owner,2
plant system manager,2
priority,2
policy pursued,2
process,2
grants awarded,2
guidelines,2
project leaders,2
he,2
grant,2
redevelopment of  ring,2
requests,2
resources,2
proposed project,2
generative ai,2
hub,2
researchers,2
readers,2
recorded data,2
t,2
task force members,2
solution,2
strength,2
specific attention,2
following information,2
following obstacles,2
following three points,2
smart education at schools programme,2
smaller font sizes ( minimum 8 points ),2
section,2
seats programme,2
result,2
listening session,2
machine learning,2
main conclusions from  needs analysis,2
machine translated by google quality of components other than machine,2
member states,2
investigating body,2
members of  task force,2
malta :,2
pages,2
institutions,2
internal quality requirements,2
pact,2
other actors,2
our leadership team,2
no person,2
new action plan,2
vendor,2
what changes to  core elements and principles,2
which by their nature,2
what risks,2
,2
● ai - enhanced products,2
your leadership team,2
work,2
activities,2
aisl,2
all members of  school community,2
ami,2
applicants,2
all educators,2
ai applications,2
administrators,2
large amount of data they make available to companies,1
latter,1
letter of intent for training devices,1
level of achievement of,1
level of internal quality of  machine learning element,1
level of requirements for machine learning elements,1
level of safety functionality required of machine learning elements,1
licensing agreement,1
limitation period,1
"link between  said databases and  announcement of criteria , methods and conditions higher education and science , research and innovation databases , as well as integration and section 11 policies , strategies and plans according to ( 1 ) ( 4",1
"links between  academic institutions ,  students and  business organizations",1
listening session audience members,1
long - term strategy,1
machine learning model,1
machine learning training stage and prediction and inference programs used during execution,1
main objective of  concept,1
maintenance staff,1
majority partners,1
malta digital innovation authority ( mdia ),1
malta ethical ai framework,1
maltese language resources and tools,1
maltese telecoms regulator,1
management framework,1
management of  incubator platform,1
manifesto for  improvement of  digital competences of spanish citizens,1
maximum aid intensities,1
maximum amount of aid,1
maximum period for resolution and notification of  modification,1
mcast ai strategy and action plan,1
mdia ’s ai certification process,1
measures described below,1
measures proposed in this plan,1
meeting,1
meeting of  nstda executive committee,1
members of  committee,1
internships,1
interruption of presential reaching,1
introduction of a 30 km / h zone,1
introduction of a fourth entity in  internship -related processes,1
introduction of such a charge,1
"investing in skills programme , co - financed through  european social fund ( esf )",1
investment,1
invoice and/or receipt for expenses and,1
involvement of  private sector,1
items for quality in use and external quality,1
judgment criteria,1
jury,1
justification for  aid,1
kanal foundation and  various brussels public services,1
members of  evaluation committee,1
method,1
minister - president,1
ministries concerned,1
