a_raw_text,a_class,count
the government,explicit,379
it,explicit,284
that,explicit,142
they,explicit,88
we,explicit,86
this,explicit,86
which,explicit,64
educational leaders,explicit,59
ai,explicit,45
the region,explicit,37
"unauthorized use , reproduction , or distribution of individual content or entire pages",explicit,36
you,explicit,30
who,explicit,23
the programme,explicit,18
this principle,explicit,18
educators,explicit,16
the beneficiary,explicit,12
students,explicit,12
special attention,explicit,11
the corporation,explicit,10
teachers,explicit,10
the applicant,explicit,9
malta,explicit,9
projects,explicit,9
the application,explicit,9
the commission,explicit,8
machine translated by google the government,explicit,8
the digital education strategy,explicit,8
the calls for proposals,explicit,8
ai systems,explicit,8
this guideline,explicit,8
the project,explicit,8
the strategy,explicit,8
the department,explicit,8
the following,explicit,7
the award procedure used,explicit,7
the aid,explicit,7
the mede,explicit,7
test operators,explicit,7
the task force,explicit,7
ai literacy,explicit,7
the plan,explicit,7
the action plan,explicit,7
schools,explicit,6
the test operator,explicit,6
this plan,explicit,6
everyone,explicit,6
what,explicit,6
this section,explicit,6
applications,explicit,6
technology,explicit,6
the country,explicit,5
the case,explicit,5
this document,explicit,5
these,explicit,5
leaders,explicit,5
failures,explicit,5
digital,explicit,5
particular attention,explicit,5
this programme,explicit,5
digital skills,explicit,5
the eu,explicit,5
organisations,explicit,5
the policy council,explicit,5
the maltese government,explicit,5
i,explicit,4
these skills,explicit,4
digital technologies,explicit,4
humans,explicit,4
users,explicit,4
the mdia,explicit,4
an educational leader,explicit,4
paragraph one,explicit,4
eligible expenses,explicit,4
this process,explicit,4
"the ministry of education , youth and sports",explicit,4
people,explicit,4
the programme team,explicit,4
the beneficiary entity,explicit,4
the authorities,explicit,4
ÿ,explicit,4
beneficiaries,explicit,4
the report,explicit,4
the european commission,explicit,4
training programmes,explicit,4
the initiative,explicit,3
ai tools,explicit,3
all children,explicit,3
citizens,explicit,3
information,explicit,3
the ai system,explicit,3
this report,explicit,3
the uom,explicit,3
digitalisation,explicit,3
the auditor,explicit,3
this initiative,explicit,3
"i may 1 ,",explicit,3
the selected projects,explicit,3
the document,explicit,3
these documents,explicit,3
