stakeholder,edu_title_all_chunks,edu_title_institutional_statements,gap_chunks_minus_statements_pct
schools,20.87,6.73,14.14
students,18.07,6.36,11.71
platforms_edtech,14.84,4.17,10.67
teachers,14.7,4.91,9.79
deployers_operators,9.4,2.37,7.03
government,21.35,14.65,6.7
providers_vendors,7.71,1.04,6.67
researchers,6.65,1.27,5.38
data_protection,4.05,1.25,2.8
parents_guardians,3.23,0.91,2.32
administrators,1.64,0.38,1.26
education_ministry,1.59,0.76,0.83
regulators,0.77,0.25,0.52
civil_society,0.58,0.17,0.41
