corpus,stakeholder,hits,pct
edu_title_institutional_statements,government,772,14.65
edu_title_institutional_statements,schools,355,6.73
edu_title_institutional_statements,students,335,6.36
edu_title_institutional_statements,teachers,259,4.91
edu_title_institutional_statements,platforms_edtech,220,4.17
edu_title_institutional_statements,deployers_operators,125,2.37
edu_title_institutional_statements,researchers,67,1.27
edu_title_institutional_statements,data_protection,66,1.25
edu_title_institutional_statements,providers_vendors,55,1.04
edu_title_institutional_statements,parents_guardians,48,0.91
edu_title_institutional_statements,education_ministry,40,0.76
edu_title_institutional_statements,administrators,20,0.38
edu_title_institutional_statements,regulators,13,0.25
edu_title_institutional_statements,civil_society,9,0.17
edu_title_all_chunks,government,443,21.35
edu_title_all_chunks,schools,433,20.87
edu_title_all_chunks,students,375,18.07
edu_title_all_chunks,platforms_edtech,308,14.84
edu_title_all_chunks,teachers,305,14.7
edu_title_all_chunks,deployers_operators,195,9.4
edu_title_all_chunks,providers_vendors,160,7.71
edu_title_all_chunks,researchers,138,6.65
edu_title_all_chunks,data_protection,84,4.05
edu_title_all_chunks,parents_guardians,67,3.23
edu_title_all_chunks,administrators,34,1.64
edu_title_all_chunks,education_ministry,33,1.59
edu_title_all_chunks,regulators,16,0.77
edu_title_all_chunks,civil_society,12,0.58
