doc_id,chunk_id,sentence_text,sentence_index_in_chunk,d_lemma,d_surface,d_class,d_polarity,d_method,i_head_lemma,i_phrase_text,i_has_conj,i_method,c_texts,c_types,c_cues,c_count,b_text,b_cue,b_found,a_raw_text,a_head,a_class,a_method,a_is_conjoined,o_local_present,o_local_text,o_local_type,o_local_cue,statement_type_candidate
0202754ecda31003,0,MDIA | TAS | Programme Guidelines Contents 1 DEFINITIONS .......................................................................................................................................,0,,,,,,definition,DEFINITIONS,False,strategy_root,,,,0,,,False,MDIA | TAS | Programme Guidelines Contents 1,mdia,explicit,nsubj,False,False,,,,strategy_candidate
0202754ecda31003,9,"MDIA | TAS | Programme Guidelines 1 Definitions “Applicant”, within the context of this document, refers to an individual and/or legal organisation submitting an Application Form manifesting his/her/its wish to join the MDIA Technology Accreditation Sandbox with respect to an innovative digital product or service (“IDPS”) with the Authority.",0,,,,,,refer,refers its wish to join the MDIA Technology Accreditation Sandbox with respect to an innovative digital product or service ( “ IDPS ” ) with the Authority,False,strategy_root,within the context of this document,prep_phrase,within,1,service,aim_span,True,"MDIA | TAS | Programme Guidelines 1 Definitions “ Applicant ” ,",mdia,explicit,nsubj,False,False,,,,strategy_candidate
0202754ecda31003,9,"Where “he” is used with reference to the Applicant in these Guidelines, it should be deemed to refer to individual applicants of any sex, as well as to a legal organisation.",1,should,should,obligation,positive,modal_aux,deem,deemed,False,modal_head,,,,0,,,False,it,it,explicit,nsubjpass,False,False,,,,norm_candidate
0202754ecda31003,10,“Application” and “Application Form” shall mean the documents by which the Applicant registers its wish to join the MDIA Technology Accreditation Sandbox.,0,shall,shall,obligation,positive,modal_aux,mean,mean the documents by which the Applicant registers its wish to join the MDIA Technology Accreditation Sandbox,False,modal_head,,,,0,,,False,“ Application ” and “ Application Form ”,application,explicit,nsubj,True,False,,,,norm_candidate
0202754ecda31003,13,“Forensic Node” shall have the same meaning attributed in Section 8 of this document.,0,shall,shall,obligation,positive,modal_aux,have,have the same meaning attributed in Section 8 of this document,False,modal_head,,,,0,,,False,Forensic Node,node,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,14,“Initial Technical Soundness Review” shall be conducted by the appointed Technical Expert identifying the current state of the IDPS.,0,shall,shall,obligation,positive,modal_aux,conduct,conducted,False,modal_head,,,,0,,,False,Initial Technical Soundness Review,review,explicit,nsubjpass,False,False,,,,norm_candidate
0202754ecda31003,17,"The Register, which shall be publicly available on the Authority’s website, shall include fields that the Authority considers necessary in order to identify the relevant Sandbox Resident and the activities being carried out by it.",0,shall,shall,obligation,positive,modal_aux,be,be,False,modal_head,,,,0,,,False,which,which,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,19,"MDIA | TAS | Programme Guidelines “Sandbox Business Plan” refers to a document that explains the business supporting the IDPS throughout its residency in the MDIA-TAS, as defined in Section 7 of these Guidelines.",0,,,,,,refer,refers,False,strategy_root,,,,0,,,False,MDIA,mdia,explicit,nsubj,False,False,,,,strategy_candidate
0202754ecda31003,21,"“Sandbox Residency Plan”, also referred to as “Residency Plan” in this document, refers to the document submitted by the Applicant identifying how the IDPS will advance throughout its residency in the MDIA-TAS.",0,,,,,,refer|refer,referred|refers,True,strategy_root,,,,0,,,False,"“ Sandbox Residency Plan ” ,",plan,explicit,nsubj,False,False,,,,strategy_candidate
0202754ecda31003,25,“Technical Soundness Review” refers to the technical review carried out by the Technical Experts with respect to whether the identified Control Objectives applied to the respective applicable segment of the IDPS have been successfully achieved by the IDPS as defined in the milestone within the Residency Plan.,0,,,,,,refer,refers,False,strategy_root,,,,0,,,False,Technical Soundness Review ”,review,explicit,nsubj,False,False,,,,strategy_candidate
0202754ecda31003,26,“Technical Soundness Review Report” refers to the document produced as an outcome of the review carried out by the Technical Experts with respect to whether the identified objectives have been achieved by the IDPS as defined in the milestone within the Residency Plan.,0,,,,,,refer,refers,False,strategy_root,,,,0,,,False,Technical Soundness Review Report,report,explicit,nsubj,False,False,,,,strategy_candidate
