country,n_docs,n_statements,n_norm,other_low_confidence,n_rule,n_strategy,dclass_obligation,dclass_permission,dclass_prohibition,pct_a_explicit,pct_a_inferred,pct_a_conjoined,mean_c_count,pct_b_found,pct_o_local_present,pct_i_conjoined,pct_a_raw_present,pct_b_text_present,pct_c_text_present,statements_per_doc,n_strategy_share,n_norm_share,n_rule_share,rule_to_norm_ratio,rule_to_strategy_ratio,n_strong_deontic,strong_deontic_share,n_weak_deontic,weak_deontic_share
United States,100,32823,21829,1192,424,9378,15982,6170,1293,0.764342077201962,0.0,0.09609115559211528,0.42994241842610365,0.27416750449380006,0.015233220607500838,0.17768028516588977,0.7648904731438321,0.27416750449380006,0.33741583645614354,328.23,0.2857142857142857,0.6650519452822716,0.01291777107516071,0.019423702414219614,0.04521219876306248,1293,0.03939310849099717,,
European Union,66,14675,10545,535,513,3082,7970,2707,916,0.8701192504258943,0.0,0.10221465076660988,0.45260647359454853,0.35747870528109027,0.03965928449744464,0.20020442930153323,0.8703918228279387,0.35747870528109027,0.35679727427597957,222.34848484848484,0.21001703577512776,0.7185689948892675,0.03495741056218058,0.04864864864864865,0.1664503569110967,916,0.0624190800681431,,
United Kingdom,58,12294,6680,375,243,4996,2627,4232,439,0.8900276557670408,0.0,0.0769481047665528,0.30828046201399056,0.37579306979014154,0.024727509354156497,0.16186757768016918,0.8900276557670408,0.37579306979014154,0.26590206604847894,211.9655172413793,0.40637709451765086,0.5433544818610705,0.019765739385065886,0.03637724550898203,0.048638911128903124,439,0.0357084756791931,,
Germany,35,3546,2382,230,64,870,947,1573,156,0.8838127467569092,0.0,0.10434292160180485,0.3838127467569092,0.4235758601240835,0.023124647490129723,0.1598984771573604,0.8838127467569092,0.4235758601240835,0.332205301748449,101.31428571428572,0.24534686971235195,0.6717428087986463,0.01804850535815003,0.02686817800167926,0.0735632183908046,156,0.043993231810490696,,
Spain,26,3935,1822,128,37,1948,1181,682,124,0.8513341804320204,0.0,0.09275730622617535,0.5501905972045743,0.21728081321473952,0.01880559085133418,0.1560355781448539,0.8520965692503176,0.21728081321473952,0.4094027954256671,151.34615384615384,0.4950444726810673,0.46302414231257943,0.00940279542566709,0.02030735455543359,0.018993839835728953,124,0.031512071156289706,,
Australia,25,5346,3162,216,125,1843,1409,1923,171,0.8434343434343434,0.0,0.081556303778526,0.3254769921436588,0.28208005985783763,0.02861952861952862,0.17153011597456042,0.843808454919566,0.28208005985783763,0.27085671530115973,213.84,0.3447437336326225,0.5914702581369248,0.023381967826412272,0.03953194180898166,0.06782419967444384,171,0.03198653198653199,,
Saudi Arabia,25,1618,1168,62,43,345,857,351,65,0.8720642768850433,0.0,0.11742892459826947,0.4888751545117429,0.6297898640296663,0.02781211372064277,0.16625463535228677,0.8726823238566132,0.6297898640296663,0.357849196538937,64.72,0.21322620519159455,0.7218788627935723,0.02657601977750309,0.036815068493150686,0.1246376811594203,65,0.040173053152039555,,
Malta,20,2285,1206,55,30,994,591,602,98,0.8713347921225383,0.0,0.08708971553610503,0.35667396061269147,0.29146608315098466,0.01487964989059081,0.16455142231947484,0.8713347921225383,0.29146608315098466,0.2862144420131291,114.25,0.4350109409190372,0.5277899343544857,0.01312910284463895,0.024875621890547265,0.030181086519114688,98,0.04288840262582057,,
Türkiye,19,8410,807,43,14,7546,326,481,57,0.879667063020214,0.0,0.22187871581450655,0.3492271105826397,0.25136741973840665,0.005826397146254459,0.2380499405469679,0.879667063020214,0.25136741973840665,0.3030915576694411,442.63157894736844,0.8972651605231867,0.09595719381688467,0.0016646848989298453,0.01734820322180917,0.0018552875695732839,57,0.0067776456599286565,,
Singapore,19,1713,905,73,28,707,288,677,41,0.8744892002335085,0.0,0.09048453006421482,0.29889083479276124,0.287215411558669,0.020431990659661413,0.1727962638645651,0.8750729713952131,0.287215411558669,0.2527729130180969,90.15789473684211,0.4127262113251605,0.5283129013426737,0.01634559252772913,0.030939226519337018,0.039603960396039604,41,0.023934617629889084,,
