country,cluster_id,institutional_complexity_index,mean_c_count,pct_a_explicit,pct_b_found,pct_c_text_present
Rwanda,0,1.308349786831014,0.4605263157894737,0.8947368421052632,0.6842105263157895,0.3421052631578947
Iceland,0,1.2675379384002157,0.5804020100502513,0.9195979899497488,0.3743718592964824,0.4346733668341708
Saudi Arabia,0,1.2246221815291416,0.4888751545117429,0.8720642768850433,0.6297898640296663,0.357849196538937
Nigeria,0,1.1058377892888545,0.76,0.8,0.1733333333333333,0.52
Tunisia,0,1.0420167168679693,0.5531914893617021,0.8489361702127659,0.4,0.4382978723404255
Kazakhstan,0,0.8524466442534573,0.67,0.82,0.17,0.49
Council of Europe,0,0.8292599065098969,0.4470588235294118,1.0,0.3647058823529411,0.3294117647058823
African Union,0,0.8146972181084635,0.5283018867924528,0.9339622641509434,0.330188679245283,0.3584905660377358
Israel,0,0.7667671408024268,0.5202216066481995,0.817174515235457,0.3939058171745152,0.4166204986149584
Japan,0,0.6320931406479248,0.4241579558652729,0.878513356562137,0.4387921022067363,0.3535423925667828
World Economic Forum,0,0.5271069357189493,0.449438202247191,0.8932584269662921,0.3314606741573033,0.3651685393258427
Spain,0,0.5045934830535099,0.5501905972045743,0.8513341804320204,0.2172808132147395,0.4094027954256671
European Union,1,0.4872499788081417,0.4526064735945485,0.8701192504258943,0.3574787052810902,0.3567972742759795
Mauritius,0,0.486467879584249,0.6139705882352942,0.8174019607843137,0.1764705882352941,0.4227941176470588
Ukraine,0,0.4807735733638956,0.3425287356321839,0.8528735632183908,0.5701149425287356,0.3011494252873563
