country,cluster_id,regulatory_intensity_index,n_rule_share,rule_to_norm_ratio,strong_deontic_share,pct_o_local_present
Tunisia,0,2.9024536206760008,0.0595744680851063,0.0746666666666666,0.1212765957446808,0.0617021276595744
Iceland,0,2.815595335787658,0.0628140703517587,0.0925925925925925,0.0854271356783919,0.0653266331658291
Croatia,0,2.382878374158093,0.0576923076923076,0.1,0.0576923076923076,0.0576923076923076
Costa Rica,0,1.593836183827888,0.0427489177489177,0.0910138248847926,0.0265151515151515,0.0524891774891774
Rwanda,0,1.4751943304123794,0.0394736842105263,0.0625,0.0131578947368421,0.0789473684210526
Canada,0,1.4358778187847894,0.0361904761904761,0.0642978003384094,0.06,0.0447619047619047
Nigeria,0,1.4151258098352837,0.04,0.0428571428571428,0.08,0.04
Kazakhstan,0,1.2477121374873537,0.03,0.06,0.05,0.05
European Union,1,1.189807711320726,0.0349574105621805,0.0486486486486486,0.0624190800681431,0.0396592844974446
Argentina,0,1.1838288875878853,0.0360759493670886,0.074025974025974,0.0240506329113924,0.0474683544303797
Netherlands,0,1.013062739645146,0.0331288343558282,0.0689655172413793,0.0288343558282208,0.0398773006134969
Mauritius,0,0.9757616347571256,0.0367647058823529,0.0544464609800363,0.0367647058823529,0.0379901960784313
Ukraine,0,0.8466432177734531,0.032183908045977,0.0471380471380471,0.0413793103448275,0.0367816091954023
Japan,0,0.75290858861318,0.0241579558652729,0.0382634289919058,0.059465737514518,0.0332171893147502
Switzerland,0,0.7142526916568421,0.0234986945169712,0.0404494382022471,0.0574412532637075,0.031331592689295
