doc_id,title,country,raw_path
49d5231fb9580b26,Argentina - Productive Development Plan (TRANSLATED) (2021),Argentina,data/raw/corpus_raw/AI Policies/Argentina/Argentina - Productive Development Plan (TRANSLATED) (2021).pdf
bf606021d9a149a7,Argentina - Provision 2-23 City of Buenos Aires (TRANSLATED) (2023),Argentina,data/raw/corpus_raw/AI Policies/Argentina/Argentina - Provision 2-23 City of Buenos Aires (TRANSLATED) (2023).pdf
30823a53a170c8ff,Argentina - Resolution 268-2022 (TRANSLATED) (2022),Argentina,data/raw/corpus_raw/AI Policies/Argentina/Argentina - Resolution 268-2022 (TRANSLATED) (2022).pdf
9b604024fbf6d610,Translated - Guidance for Public and Private Entities on Transparency and Personal Data Protection for Responsible Artificial Intelligence2,Argentina,data/raw/corpus_raw/AI Policies/Argentina/Translated - Guidance for Public and Private Entities on Transparency and Personal Data Protection for Responsible Artificial Intelligence2.pdf
13274b157aad702f,Argentina - National AI Plan (TRANSLATED) (2019),Argentina,data/raw/corpus_raw/AI Policies/Argentina/Argentina - National AI Plan (TRANSLATED) (2019).pdf
383b62940addc1c5,Argentina - Knowledge Economy Promotion Scheme (TRANSLATED) (2019),Argentina,data/raw/corpus_raw/AI Policies/Argentina/Argentina - Knowledge Economy Promotion Scheme (TRANSLATED) (2019).pdf
90fa601d7b55217a,Armenia - Implementation of Armenia's digital agenda strategy (2021),Armenia,data/raw/corpus_raw/AI Policies/Armenia/Armenia - Implementation of Armenia's digital agenda strategy (2021).pdf
913dbbdb151ad60e,Armenia - Armenia Digital Agenda (2017),Armenia,data/raw/corpus_raw/AI Policies/Armenia/Armenia - Armenia Digital Agenda (2017).pdf
8df8cbcc76eaac5f,Armenia - Armenia to go digital as government approves new strategy (2021),Armenia,data/raw/corpus_raw/AI Policies/Armenia/Armenia - Armenia to go digital as government approves new strategy (2021).pdf
8c49c82a75a3b938,Israel - Guiding principles for the development of machine learning based technologies (2023),Israel,data/raw/corpus_raw/AI Policies/Israel/Israel - Guiding principles for the development of machine learning based technologies (2023).pdf
044a85a713300e1f,Israel - Regulation and Ethics (2023),Israel,data/raw/corpus_raw/AI Policies/Israel/Israel - Regulation and Ethics (2023).pdf
5bd50c79dbc78073,Translated - Artificial Intelligence in the Financial Sector – Interim Report of the Inter-Agency Task Force on the Use of Artificial Intelligence and Machine Learning in Israels Financial Sector,Israel,data/raw/corpus_raw/AI Policies/Israel/Translated - Artificial Intelligence in the Financial Sector – Interim Report of the Inter-Agency Task Force on the Use of Artificial Intelligence and Machine Learning in Israels Financial Sector.pdf
472456cec7b447de,Israel - The Government of Israel Transitions to Cloud (2022),Israel,data/raw/corpus_raw/AI Policies/Israel/Israel - The Government of Israel Transitions to Cloud (2022).pdf
03bd616d975d6684,Israel - Public call for applications to receive support for government projects based on AI (2023),Israel,data/raw/corpus_raw/AI Policies/Israel/Israel - Public call for applications to receive support for government projects based on AI (2023).pdf
da183e55911bc347,Israel - Uses of Copyrighted Materials for Machine Learning (2022),Israel,data/raw/corpus_raw/AI Policies/Israel/Israel - Uses of Copyrighted Materials for Machine Learning (2022).pdf
630081f85ed47890,Israel - The National Initiative for Secured Intelligent Systems (2020),Israel,data/raw/corpus_raw/AI Policies/Israel/Israel - The National Initiative for Secured Intelligent Systems (2020).pdf
df642bca8504f4b5,Israel - Israel is using AI to flag high-risk covid-19 patients (2020),Israel,data/raw/corpus_raw/AI Policies/Israel/Israel - Israel is using AI to flag high-risk covid-19 patients (2020).pdf
a2156e20f6cf8c6f,Israel - Setting up and operation of a NIHPC focused on research and development in AI (2021),Israel,data/raw/corpus_raw/AI Policies/Israel/Israel - Setting up and operation of a NIHPC focused on research and development in AI (2021).pdf
75e4624c2ef4eab2,Israel - AI and Data Science Committee (TRANSLATED) (2020),Israel,data/raw/corpus_raw/AI Policies/Israel/Israel - AI and Data Science Committee (TRANSLATED) (2020).pdf
690b4c71c3e31d75,Translated - Legal Guide for Designing Regulatory Sandboxes3,Israel,data/raw/corpus_raw/AI Policies/Israel/Translated - Legal Guide for Designing Regulatory Sandboxes3.pdf
8c781e398560a586,"Israel - A program to promote innovation, encourage the growth of the high-tech sector, and strengthen technological and scientific leadership (TRANSLATED) (2021)",Israel,"data/raw/corpus_raw/AI Policies/Israel/Israel - A program to promote innovation, encourage the growth of the high-tech sector, and strengthen technological and scientific leadership (TRANSLATED) (2021).pdf"
fdc3ebbf341379a2,Israel - Bill to regulate the activities of Fintech Companies in Israel (2021),Israel,data/raw/corpus_raw/AI Policies/Israel/Israel - Bill to regulate the activities of Fintech Companies in Israel (2021).pdf
5f2c4fe4f54a4ae5,Israel - Government Resolution 173 (2023),Israel,data/raw/corpus_raw/AI Policies/Israel/Israel - Government Resolution 173 (2023).pdf
4fcf8e38859b4d06,AI for Science Moonshot,Israel,data/raw/corpus_raw/AI Policies/Israel/AI for Science Moonshot.pdf
e8da7e7d8d0d270f,Israel - A new interministerial team is exploring the use of AI in the financial sector (2023),Israel,data/raw/corpus_raw/AI Policies/Israel/Israel - A new interministerial team is exploring the use of AI in the financial sector (2023).pdf
eb3684e83bfcf708,Uganda - Uganda prepares to harness opportunities of 4th Industrial revolution (2019),Uganda,data/raw/corpus_raw/AI Policies/Uganda/Uganda - Uganda prepares to harness opportunities of 4th Industrial revolution (2019).pdf
41e2e06ed428f1f1,Uganda - Uganda installs Huawei's AI-powered facial recognition surveillance system 'nationwide' (2019),Uganda,data/raw/corpus_raw/AI Policies/Uganda/Uganda - Uganda installs Huawei's AI-powered facial recognition surveillance system 'nationwide' (2019).pdf
bd2b07d579959e0b,Romania - Romania in the era of AI (2019),Romania,data/raw/corpus_raw/AI Policies/Romania/Romania - Romania in the era of AI (2019).pdf
7f5dfe2a6f1024a3,"Romania - National Strategic Framework for AI, 2023-2027 (TRANSLATED) (2023)",Romania,"data/raw/corpus_raw/AI Policies/Romania/Romania - National Strategic Framework for AI, 2023-2027 (TRANSLATED) (2023).pdf"
19282f630d4a7216,Translated - Smart labs,Romania,data/raw/corpus_raw/AI Policies/Romania/Translated - Smart labs.pdf
4a88de973ab2d72c,Translated - National Platform of Technologies and Semiconductors,Romania,data/raw/corpus_raw/AI Policies/Romania/Translated - National Platform of Technologies and Semiconductors.pdf
f2b2f7b4e0d7bcfd,Romanian National HPC Competence Center,Romania,data/raw/corpus_raw/AI Policies/Romania/Romanian National HPC Competence Center.pdf
a6d9507e3f549cb3,Romania - Country factsheet (2022),Romania,data/raw/corpus_raw/AI Policies/Romania/Romania - Country factsheet (2022).pdf
3c622dd498a8ed7c,Serbia - Serbia becomes a member for Global Parternships in AI (TRANSLATED) (2022),Serbia,data/raw/corpus_raw/AI Policies/Serbia/Serbia - Serbia becomes a member for Global Parternships in AI (TRANSLATED) (2022).pdf
734fcac883c4c944,Serbia - On the establishment of the Research and Development Institute for AI (TRANSLATED) (2021),Serbia,data/raw/corpus_raw/AI Policies/Serbia/Serbia - On the establishment of the Research and Development Institute for AI (TRANSLATED) (2021).pdf
d94c41757aa8ebdf,Serbia - Law on the Science Fund of the Republic of Serbia (2018),Serbia,data/raw/corpus_raw/AI Policies/Serbia/Serbia - Law on the Science Fund of the Republic of Serbia (2018).pdf
2f02ae7246a094c6,Serbia - Strategy for the Scientific and Technological Development of Serbia from 2021-2025 (TRANSLATED) (2021),Serbia,data/raw/corpus_raw/AI Policies/Serbia/Serbia - Strategy for the Scientific and Technological Development of Serbia from 2021-2025 (TRANSLATED) (2021).pdf
