country	chunk_id	source_doc	chunk_file	path	bytes	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
egypt	7892b92e2f51	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk001.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk001.txt	6723	-0.13017912	-0.054136865	-0.11002225	0.024389995	-0.22220258	0.012473487	0.18349396	0.096962	-0.05189163	-0.07363455
egypt	62a7ddc69517	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk002.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk002.txt	6721	-0.16904838	0.1375736	-0.09688645	-0.005584759	-0.14610192	0.028635941	0.014039032	0.17827143	0.04424666	0.041047685
egypt	8fb4a80f2b07	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk003.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk003.txt	6313	-0.13031982	-0.08490857	0.17117637	-0.10315756	-0.09152479	-0.16779485	-0.018740542	0.1793798	0.29217494	0.032247745
egypt	c4c9f5706915	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk004.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk004.txt	6427	-0.024036858	-0.040490754	-0.06771089	0.003489141	-0.1234633	0.28341526	-0.07691105	0.2553928	-0.20083141	0.09769147
egypt	415cf2d472e4	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk005.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk005.txt	6624	-0.24768311	0.17249732	-0.15864937	-0.03764029	0.022725966	-0.06791012	0.03832292	-0.121829845	-0.025585134	-0.13236044
egypt	7ee8cad91c80	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk006.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk006.txt	6687	-0.21721612	0.24800299	-0.1177222	0.11767681	0.045534145	0.04848694	-0.02288792	0.02430203	0.0479633	-0.04536608
egypt	89ebf51a3143	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk007.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk007.txt	7113	-0.18329413	0.049015254	-0.041716613	0.13072358	0.055417784	0.03566693	-0.14892069	-0.015511818	0.0834452	-0.03251694
egypt	6ad66676d5c3	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk008.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk008.txt	6805	-0.13970955	-0.016173512	-0.1065874	-0.17400424	-0.13539632	-0.16292982	0.04570068	0.16761512	-0.18226719	-0.021511978
egypt	374b221b3fcf	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk009.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk009.txt	6766	0.077910535	-0.4002596	0.06502528	-0.074726835	0.08518675	0.010013315	0.21986143	-0.03683398	0.0045908657	-0.079313315
egypt	a592bfabcc89	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk010.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk010.txt	6799	-0.016213097	-0.10165338	0.22963893	-0.043732464	0.17622732	-0.10737002	-0.2554528	0.12816225	0.08019405	-0.4951804
egypt	9d42a34d76e3	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk011.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk011.txt	6403	-0.06215958	-0.12872739	-0.062447757	-0.4479392	0.34686846	-0.17577985	0.016265666	0.37160194	0.15875946	0.15578648
egypt	bc9f3ee14ab7	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk012.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk012.txt	6292	-0.0617485	0.0807642	0.21035038	0.028282894	0.052666433	-0.4235569	0.13822694	-0.34525305	0.16215962	0.17620781
egypt	d200aee4c0d6	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk013.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk013.txt	6458	-0.23682377	0.08710168	-0.12817019	0.19097812	0.19834872	0.17512062	-0.21183933	-0.014037369	0.14290522	0.23835348
egypt	b08ad7ee132f	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk014.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk014.txt	6268	-0.3907526	0.07096377	-0.15801066	0.07306133	0.15953718	0.020352498	-0.2013406	-0.10451698	0.06483321	0.16733992
egypt	cf0fd1f8b3a9	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk015.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk015.txt	6489	-0.34121445	0.2295171	-0.14163922	0.004458953	0.05533767	-0.117196836	-0.11168837	0.0058497987	0.028329255	0.00032903944
egypt	d6b485ea2701	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk016.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk016.txt	7037	-0.19615087	0.1861185	-0.10283642	0.048972037	-0.10078353	-0.114811465	-0.074846804	0.032993406	-0.180944	-0.03582431
egypt	56e6f21107b6	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk017.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk017.txt	6480	-0.026957447	0.12958373	0.38536385	-0.006041349	-0.14856613	-0.016705217	-0.023375623	-0.007896482	-0.15461515	0.0355713
egypt	b932b70f9d01	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk018.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk018.txt	6515	-0.038568012	0.3006211	0.041627973	-0.031895928	0.13295501	0.052138977	-0.059057277	-0.15787461	-0.24047509	0.00404676
egypt	6b7d6c7411da	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk019.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk019.txt	6454	-0.21011335	0.10049374	-0.03259886	-0.03747614	0.08120708	-0.012022105	0.15047361	-0.1378502	-0.097747646	-0.14761464
