country	chunk_id	sent_id	source_doc	chunk_file	chunk_path	sentence	bytes	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
egypt	7892b92e2f51	7892b92e2f51_s004	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk001.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk001.txt	President’s Statement 4 AI in Egypt 8 Human Capacity Building 12 Phase 1: Implementation Plan 4.1 The Case for an AI	118	-0.40650788	0.08116731	0.30631816	-0.26149058	0.04313493	-0.0132971285	0.043472137	0.16158009	0.033959504	-0.16560784
egypt	7892b92e2f51	7892b92e2f51_s005	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk001.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk001.txt	Strategy 8.1 General Awareness 12.1 EPE 4.2 SWOT Analysis 8.2 Formal Education and Training 12.2 Operational Model 8.3	118	0.1430715	-0.20507418	-0.14502019	-0.28289446	0.1265161	0.032655034	-0.076912336	-0.03540156	-0.09349073	-0.3128422
egypt	7892b92e2f51	7892b92e2f51_s006	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk001.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk001.txt	Promoting AI Research in Egypt 12.3 Main Initiatives 2 Executive Summary 5 Strategy Overview 9 International Activities	119	-0.45247748	0.13672751	0.32636026	-0.07061191	-0.024875797	0.1764311	-0.091472134	-0.08532249	-0.04876732	-0.07965397
egypt	7892b92e2f51	7892b92e2f51_s027	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk001.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk001.txt	This is in addition to encouraging investment in Research and Development (R&D) in such technologies,	101	-0.019641709	0.3069439	-0.28442705	0.03831191	-0.07593449	-0.009220682	-0.12766035	-0.17143728	0.16275457	-0.058370482
egypt	7892b92e2f51	7892b92e2f51_s028	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk001.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk001.txt	raising awareness of its significance, and developing human capital to create a generation of young Egyptians capable	117	-0.012171622	0.12772605	0.3431362	-0.38035068	-0.12319181	0.23143053	0.10334974	-0.0467793	0.17221256	0.081046365
egypt	7892b92e2f51	7892b92e2f51_s047	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk001.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk001.txt	vision is to: Create an AI Industry in Egypt, including the development of skills, technology, ecosystem,	105	-0.4372094	0.07439771	0.23830973	-0.18351589	-0.011042567	-0.10602305	0.133465	-0.11870997	0.054255527	0.108532384
egypt	7892b92e2f51	7892b92e2f51_s058	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk001.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk001.txt	Encourage investment in AI research and innovation through	58	-0.4524301	0.16796431	-0.14673227	0.08166109	-0.250972	0.02166969	-0.04654698	-0.031677153	0.037898272	0.026187724
egypt	7892b92e2f51	7892b92e2f51_s059	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk001.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk001.txt	public-private partnerships and initiatives with universities, research centers, and the private sector.	104	0.26719758	0.3679247	-0.047464997	0.12641656	-0.29489568	-0.21171024	-0.16313903	-0.117644675	-0.19497922	0.16486561
egypt	7892b92e2f51	7892b92e2f51_s062	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk001.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk001.txt	regional hub for AI education and talent serving local, regional and international market needs.	96	-0.2879103	-0.16125889	-0.06043533	-0.011765343	-0.13416252	-0.2536232	0.09662682	-0.030593669	-0.055324923	0.0779138
egypt	7892b92e2f51	7892b92e2f51_s065	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk001.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk001.txt	learning and reskilling programs to contribute to workforce development and Summary sustained employability 6.	110	0.26098612	-0.10683198	-0.17300007	-0.24431069	0.07281941	0.012959457	0.21413948	0.15981008	0.028803427	-0.023413306
egypt	7892b92e2f51	7892b92e2f51_s067	Egypt - Egypt National AI Strategy (2022).txt	Egypt - Egypt National AI Strategy (2022)_chunk001.txt	data/chunks/egypt_wrapped/Egypt - Egypt National AI Strategy (2022)_chunk001.txt	thriving AI ecosystem by supporting local entrepreneurship and innovation efforts, and fostering an academic scientific	119	-0.26117685	0.12744786	-0.07196914	0.08978447	-0.27186632	-0.16978727	0.05125401	0.060738444	-0.022692392	0.22514835
