pc,explained_variance_ratio,cumulative
PC1,0.027626343615727043,0.027626343615727043
PC2,0.01231015569223527,0.039936499307962316
PC3,0.011762214781879849,0.05169871408984217
PC4,0.009156713859368814,0.060855427949210984
PC5,0.007796025921203098,0.06865145387041408
PC6,0.007563325601257279,0.07621477947167135
PC7,0.006992015359275172,0.08320679483094652
PC8,0.00611918444968922,0.08932597928063574
PC9,0.0057141410397336554,0.09504012032036939
PC10,0.0050360284555481015,0.10007614877591749
PC11,0.004894897972819783,0.10497104674873727
PC12,0.004417948180925159,0.10938899492966242
PC13,0.0039311802608589476,0.11332017519052137
PC14,0.0037514684334514735,0.11707164362397285
PC15,0.0036634929017282975,0.12073513652570114
PC16,0.0033326015823045615,0.1240677381080057
PC17,0.00314715332945747,0.12721489143746317
PC18,0.00292508034802009,0.13013997178548325
PC19,0.0026221334050417835,0.13276210519052503
PC20,0.002598534158010112,0.13536063934853515
PC21,0.0025029330162460563,0.1378635723647812
PC22,0.0024493509808127026,0.1403129233455939
PC23,0.002338182139091636,0.14265110548468554
PC24,0.002256245561332663,0.1449073510460182
PC25,0.0022378440802880506,0.14714519512630625
PC26,0.002191437930861546,0.1493366330571678
PC27,0.0021286029913821568,0.15146523604854994
PC28,0.0020884211239073015,0.15355365717245725
PC29,0.0020640981599469458,0.1556177553324042
PC30,0.002009902184077518,0.15762765751648172
PC31,0.0020003518751628337,0.15962800939164457
PC32,0.0019695167972071537,0.16159752618885173
PC33,0.0019342114876972235,0.16353173767654897
PC34,0.0019013554932513104,0.1654330931698003
PC35,0.001843765387797795,0.16727685855759808
PC36,0.0017856689839219168,0.16906252754151999
PC37,0.0017621991678519423,0.17082472670937193
PC38,0.0017401200680777198,0.17256484677744965
PC39,0.0017260629252560241,0.17429090970270567
PC40,0.001705710374767332,0.175996620077473
