pc,top_positive_terms,top_negative_terms
PC1,на; за; да; се; от; по; обучение; да се; които; са; като; образованието; при; не; трансформация; студентите; дигитална; или; на образованието; оценяване; проблеми; обучението; трансформация на; към; решения; акредитация; дигитална трансформация; това; че; технологии,missions regulations; employees section; contradicting regulations; appoint increase; recruit; recruit appoint; achieve results; results accordance; increase salary; wages punish; hub value; 30 00; indicators 12; target 30; leave position; orders performing; persons qualified; deputy directors; qualified prohibited; section 37; appointing deputy; shall responsible; set cabinet; nstda according; nstda nstda; inin; tr inin; criminal; agency state; final judgment
PC2,ai; digital; education; skills; training; educational; learning; digital skills; use; government; students; research; technologies; support; data; development; intelligence; malta; public; plan; artificial; artificial intelligence; national; schools; school; teachers; information; european; technology; systems,на; да; се; за; от; да се; по; които; са; като; не; обучение; или; при; това; трябва; че; може; студентите; трябва да; към; може да; процес; чрез; могат; ще; до; могат да; бъдат; което
PC3,ai; malta; use; generative; use ai; intelligence; generative ai; educators; educational; students; artificial; tools; artificial intelligence; data; systems; ai systems; leaders; educational leaders; risks; student; ai tools; instructional; pages; human; 2024; using; used; ethical; privacy; ai education,digital; digital skills; skills; training; education; plan; government; digital technologies; transformation; ministry; brussels; digital education; european; digital transformation; technologies; national; vocational; ict; public; vocational training; action; skills training; eu; ministry education; programme; plan digital; national plan; education training; employment; economy
PC4,digital; digital skills; skills; education; ai; educational; learning; students; technologies; digital technologies; teachers; teaching; digital education; use; educators; education training; literacy; training; schools; skills training; ict; tools; online; school; plan digital; national plan; teacher; advanced; student; content,government; brussels; policy; aid; research; article; section; region; order; public; law; innovation; shall; research innovation; council; boe; policy council; project; science; translated; machine translated; translated google; science research; google; accordance; beneficiary; machine; chair; regulations; expenses
PC5,да; government; се; brussels; да се; за; region; трябва; от; трябва да; които; не; support; като; по; policy; regional; training; или; това; public; social; може; може да; могат; urban; housing; local; могат да; са,трансформация; оценяване акредитация; оценяване; дигитална трансформация; проблеми решения; решения оценяване; образованието проблеми; конференция дигитална; национална конференция; акредитация; трансформация на; конференция; национална; дигитална; решения; на образованието; проблеми; образованието; https; aid; article; research; 2022; www; boe; university; law; education; section; com
PC6,government; brussels; region; support; трансформация; оценяване акредитация; оценяване; дигитална трансформация; проблеми решения; акредитация; решения оценяване; конференция дигитална; образованието проблеми; трансформация на; национална конференция; конференция; национална; policy; дигитална; решения; на образованието; проблеми; образованието; regional; social; housing; urban; local; municipalities; public,aid; article; boe; law; да; research; section; beneficiary; chair; expenses; accordance; digital; shall; 2022; application; december; provisions; iii; 38 2003; es; 2003; november; https; law 38; transformation; state; established; official; се; gazette
PC7,education; research; science; innovation; research innovation; policy council; science research; council; higher education; higher; policy; act; education science; educational; technologies; ministry education; shall; office; digital technologies; ministry; education youth; youth sports; national science; schools; nrct; sports; learning; technology; section; budget,digital skills; skills; ai; training; aid; digital; article; plan; malta; boe; public; beneficiary; law; european; action; transformation; eu; brussels; skills training; project; recovery; applications; order; chair; es; expenses; costs; iii; actions; pages
PC8,digital skills; skills; innovation; malta; ai; research innovation; policy council; science; science research; council; national; training; act; research; shall; policy; section; higher education; higher; nrct; digital; committee; national science; office; nstda; fund; science technology; innovation policy; education science; skills training,education; educational; digital technologies; sports; education youth; technologies; youth sports; school; schools; youth; ministry education; 31 12; teachers; 31; teaching; learning; state; students; ministry; aid; state budget; activities; implementation; article; use; brussels; cooperation; 12; op; deadline
PC9,pages; consumer; individual content; entire pages; content entire; unauthorized; copyright; 2024; intelligence; entire; individual; artificial; artificial intelligence; content; topic; links; texts; consumer protection; rights reserved; websites; texts images; images graphics; images; reserved; permitted; pages protected; worldwide copyright; layout pages; protected worldwide; expressly permitted,ai; malta; educational; educators; leaders; educational leaders; use ai; module; strategy; aid; student; vision; evidence; community; ai literacy; privacy; tools; ai education; ethical; article; district; task force; support; adoption; boe; malta ai; actions; enabled; ai tools; chair
PC10,да; се; да се; трябва; трябва да; не; решения оценяване; образованието проблеми; конференция дигитална; национална конференция; проблеми решения; оценяване акредитация; акредитация; конференция; оценяване; решения; трансформация на; национална; проблеми; които; образованието; може; на образованието; дигитална трансформация; за да; трансформация; може да; дигитална; могат; че,на; обучение; унсс; качеството; за; използване; използване на; на качеството; управление; качеството на; образование; на обучение; malta; прилагане; bg; прилагане на; обучение на; развитие на; във; управление на; за управление; осигуряване; дистанционно обучение; на унсс; дистанционно; системи; при; обучението; системи за; 2023
PC11,malta; intelligence; artificial; artificial intelligence; smart; design engineering; physical systems; cyber physical; smart technologies; cyber; energy design; future energy; energy; engineering; technologies artificial; ministry education; physical; integration cyber; ministry; intelligence integration; strategy; information ministry; systems future; technologies; design; future; integration; launchpad; ultimate; ultimate ai,educational; students; use; educators; leaders; policy council; educational leaders; student; module; research innovation; section; council; policy; content; risks; tools; science research; use ai; digital; community; digital skills; shall; act; skills; privacy; nstda; nrct; evidence; instructional; learning
